[2025-12-17T01:46:34.799932] SCRAPER using user profile: user-data=Microsoft/Edge/User Data profile=None
[2025-12-17T01:46:34.802693] SCRAPER detected Linux OS; using direct driver initialization
[2025-12-17T01:46:34.802804] SCRAPER initializing Edge driver for Linux
[2025-12-17T01:46:36.815535] SCRAPER Edge driver initialized successfully on Linux
[2025-12-17T01:46:49.741474] SCRAPER injected 26 cookies from cookies.json into session
[2025-12-17T01:46:56.478115] SCRAPER product tab detected; proceeding
[2025-12-17T01:46:56.480101] SCRAPER fetch product data
[2025-12-17T01:46:59.586355] SCRAPER fetch comments
[2025-12-17T01:47:00.322390] SCRAPER page 1: collected 20/1136
[2025-12-17T01:47:01.026722] SCRAPER page 2: collected 40/1136
[2025-12-17T01:47:01.779815] SCRAPER page 3: collected 60/1136
[2025-12-17T01:47:02.498186] SCRAPER page 4: collected 80/1136
[2025-12-17T01:47:03.396902] SCRAPER page 5: collected 100/1136
[2025-12-17T01:47:04.165719] SCRAPER page 6: collected 120/1136
[2025-12-17T01:47:04.917244] SCRAPER page 7: collected 140/1136
[2025-12-17T01:47:05.612714] SCRAPER page 8: collected 160/1136
[2025-12-17T01:47:06.695796] SCRAPER page 9: collected 180/1136
[2025-12-17T01:47:07.451625] SCRAPER page 10: collected 200/1136
[2025-12-17T01:47:08.123497] SCRAPER page 11: collected 220/1136
[2025-12-17T01:47:08.841758] SCRAPER page 12: collected 240/1136
[2025-12-17T01:47:09.760866] SCRAPER page 13: collected 260/1136
[2025-12-17T01:47:10.649809] SCRAPER page 14: collected 280/1136
[2025-12-17T01:47:11.615855] SCRAPER page 15: collected 300/1136
[2025-12-17T01:47:12.400975] SCRAPER page 16: collected 320/1136
[2025-12-17T01:47:13.138502] SCRAPER page 17: collected 340/1136
[2025-12-17T01:47:13.856195] SCRAPER page 18: collected 360/1136
[2025-12-17T01:47:14.527470] SCRAPER page 19: collected 380/1136
[2025-12-17T01:47:15.457623] SCRAPER page 20: collected 400/1136
[2025-12-17T01:47:16.187399] SCRAPER page 21: collected 420/1136
[2025-12-17T01:47:16.782415] SCRAPER page 22: collected 440/1136
[2025-12-17T01:47:17.507363] SCRAPER page 23: collected 460/1136
[2025-12-17T01:47:18.232892] SCRAPER page 24: collected 480/1136
[2025-12-17T01:47:18.871584] SCRAPER page 25: collected 500/1136
[2025-12-17T01:47:19.612547] SCRAPER page 26: collected 520/1136
[2025-12-17T01:47:20.343464] SCRAPER page 27: collected 540/1136
[2025-12-17T01:47:21.070954] SCRAPER page 28: collected 560/1136
[2025-12-17T01:47:21.742825] SCRAPER page 29: collected 568/1136
[2025-12-17T01:47:21.919092] SCRAPER finished; total 568 reviews saved
