[2025-12-17T02:52:04.992835] SCRAPER using user profile: user-data=Microsoft/Edge/User Data profile=None
[2025-12-17T02:52:04.994162] SCRAPER detected Linux OS; using direct driver initialization
[2025-12-17T02:52:04.994220] SCRAPER initializing Edge driver for Linux
[2025-12-17T02:52:06.653268] SCRAPER Edge driver initialized successfully on Linux
[2025-12-17T02:52:26.594945] SCRAPER injected 26 cookies from cookies.json into session
[2025-12-17T02:52:39.235383] SCRAPER product tab detected; proceeding
[2025-12-17T02:52:39.235709] SCRAPER fetch product data
[2025-12-17T02:52:44.649328] SCRAPER fetch comments
[2025-12-17T02:52:45.823637] SCRAPER page 1: collected 20/4624
[2025-12-17T02:52:46.720560] SCRAPER page 2: collected 40/4624
[2025-12-17T02:52:47.907741] SCRAPER page 3: collected 60/4624
[2025-12-17T02:52:49.689499] SCRAPER page 4: collected 80/4624
[2025-12-17T02:52:50.780545] SCRAPER page 5: collected 100/4624
[2025-12-17T02:52:51.770119] SCRAPER page 6: collected 120/4624
[2025-12-17T02:52:52.688372] SCRAPER page 7: collected 140/4624
[2025-12-17T02:52:53.553330] SCRAPER page 8: collected 160/4624
[2025-12-17T02:52:54.619403] SCRAPER page 9: collected 180/4624
[2025-12-17T02:52:55.575364] SCRAPER page 10: collected 200/4624
[2025-12-17T02:52:56.612301] SCRAPER page 11: collected 220/4624
[2025-12-17T02:52:57.543847] SCRAPER page 12: collected 240/4624
[2025-12-17T02:52:58.632141] SCRAPER page 13: collected 260/4624
[2025-12-17T02:52:59.641525] SCRAPER page 14: collected 280/4624
[2025-12-17T02:53:00.735814] SCRAPER page 15: collected 300/4624
[2025-12-17T02:53:01.614212] SCRAPER page 16: collected 320/4624
[2025-12-17T02:53:02.601487] SCRAPER page 17: collected 340/4624
[2025-12-17T02:53:03.434845] SCRAPER page 18: collected 360/4624
[2025-12-17T02:53:04.329582] SCRAPER page 19: collected 380/4624
[2025-12-17T02:53:05.143238] SCRAPER page 20: collected 400/4624
[2025-12-17T02:53:05.948674] SCRAPER page 21: collected 420/4624
[2025-12-17T02:53:06.738769] SCRAPER page 22: collected 440/4624
[2025-12-17T02:53:07.707826] SCRAPER page 23: collected 460/4624
[2025-12-17T02:53:08.590642] SCRAPER page 24: collected 480/4624
[2025-12-17T02:53:09.448053] SCRAPER page 25: collected 500/4624
[2025-12-17T02:53:10.464240] SCRAPER page 26: collected 520/4624
[2025-12-17T02:53:11.432345] SCRAPER page 27: collected 540/4624
[2025-12-17T02:53:12.310556] SCRAPER page 28: collected 560/4624
[2025-12-17T02:53:13.243592] SCRAPER page 29: collected 580/4624
[2025-12-17T02:53:14.112660] SCRAPER page 30: collected 600/4624
[2025-12-17T02:53:15.015594] SCRAPER page 31: collected 620/4624
[2025-12-17T02:53:15.992113] SCRAPER page 32: collected 640/4624
[2025-12-17T02:53:16.869323] SCRAPER page 33: collected 660/4624
[2025-12-17T02:53:17.877762] SCRAPER page 34: collected 680/4624
[2025-12-17T02:53:18.697029] SCRAPER page 35: collected 700/4624
[2025-12-17T02:53:19.648924] SCRAPER page 36: collected 720/4624
[2025-12-17T02:53:20.827172] SCRAPER page 37: collected 740/4624
[2025-12-17T02:53:21.702374] SCRAPER page 38: collected 760/4624
[2025-12-17T02:53:22.546122] SCRAPER page 39: collected 780/4624
