username,comment,rating,likes,create_time,comment_clean
r*****5,"Keaslian:Terjamin Asli
Garansi:100% Original
Kondisi Barang:Mulus Segel Utuh

Di toko ini dijamin barang baru dan bersegera, packing nya super rapih dengan dus yg sangat bagus dan sangat aman... pakai Instant, gratis ongkir dan sampai tepat waktu... amanah dan terpercaya.. ada bonus kaos tebal dan kepala charging 25watt serta buku diary samsung.. terimakasih",5,291,1764762477,keaslian terjamin asli garansi 100 original kondisi barang mulus segel utuh di toko ini dijamin barang baru dan bersegera packing nya super rapih dengan dus yg sangat bagus dan sangat aman pakai instant gratis ongkir dan sampai tepat waktu amanah dan terpercaya ada bonus kaos tebal dan kepala charging 25watt serta buku diary samsung terimakasih
lusy_uci,"Garansi:garansi 1 tahun, mantap
Kondisi Barang:fresh, baru, segel
Keaslian:1.000.000%

Puas. Barang segel 100% baru. Udah cek imei garansi full 1 tahun. Bonus berkelas. Casing mahal, antigores mahal, samsung note, gantungan kunci, ah mantap. Terimakasih admin.",5,203,1764687031,garansi garansi 1 tahun mantap kondisi barang fresh baru segel keaslian 1 000 000 puas barang segel 100 baru udah cek imei garansi full 1 tahun bonus berkelas casing mahal antigores mahal samsung note gantungan kunci ah mantap terimakasih admin
syahrullahluqman,"Keaslian:100% original
Kondisi Barang:Baru masih segel

MasyaAllah, Toko rekomended beda dari yang lain admin ramah  fast respon. Barang yang sampai sangat safety. Banyak bonusnya juga, kalau bisa bintang 10 dah gua kasi bintang 10, tpi cmn bisa 5",5,311,1764722226,keaslian 100 original kondisi barang baru masih segel masyaallah toko rekomended beda dari yang lain admin ramah fast respon barang yang sampai sangat safety banyak bonusnya juga kalau bisa bintang 10 dah gua kasi bintang 10 tpi cmn bisa 5
i*****v,"HP ori segel, garansi baru aktif pas di buka, charger berfungsi, banyak bonusnya.
Terima kasih.",5,127,1764665588,hp ori segel garansi baru aktif pas di buka charger berfungsi banyak bonusnya terima kasih
efri2109,"Pengalaman:Baru pertama kali belanja di toko ini, dan pertama kali belanja online dengan harga yang lumayan.. Tapi setelah barang sampai dijamin dan amanah
Keaslian:Setelah di cek asli
Kualitas:Bagus, pengemasan produk juga bagus dan bonus nya banyak",5,101,1764410737,pengalaman baru pertama kali belanja di toko ini dan pertama kali belanja online dengan harga yang lumayan tapi setelah barang sampai dijamin dan amanah keaslian setelah di cek asli kualitas bagus pengemasan produk juga bagus dan bonus nya banyak
habyvo4jmn,"Keaslian:Barang asli, tersegel rapi
Pengalaman:Meski harga lebih murah dibandingkan toko lain, tapi barangnya benar2 masih baru dan original.. Mantap.. Ada bonus botol minuman jg, anti gores, note book dan pulpennya.. Keren pokoknya
Kualitas:Kualitas bagus banget. Packing rapi, pengemasan bagus banget, dibungkus dg baik seperti kado ulang tahun😄

Anti goresnya sudah ada cara pemasangannya. Jadi bisa dipasang sendiri dengan mudah, tanpa harus pergi ke counter hp. Charger dan adaptornya berfungsi dengan baik. Terima kasih seller, tetap utamakan kualitas. Makin mengedapankan kualitas, makin banyak pelanggan yang datang.",5,27,1762071448,keaslian barang asli tersegel rapi pengalaman meski harga lebih murah dibandingkan toko lain tapi barangnya benar2 masih baru dan original mantap ada bonus botol minuman jg anti gores note book dan pulpennya keren pokoknya kualitas kualitas bagus banget packing rapi pengemasan bagus banget dibungkus dg baik seperti kado ulang tahun anti goresnya sudah ada cara pemasangannya jadi bisa dipasang sendiri dengan mudah tanpa harus pergi ke counter hp charger dan adaptornya berfungsi dengan baik terima kasih seller tetap utamakan kualitas makin mengedapankan kualitas makin banyak pelanggan yang datang
c*****0,"Sudah diterima dengan baik..
Seller fast respons, abis co langsung dikirim di hari yang sama..

Mantap..",5,16,1763384099,sudah diterima dengan baik seller fast respons abis co langsung dikirim di hari yang sama mantap
hazmisultoni1997,"Terimakasih seller, packingnya cantik seperti hadiah. Sellernya juga ramah dan membantu. Barangnya original dan berfungsi dgn normal. Sudah pakai seminggu semua baik2 saja, semoga seterusnya awet terus ya.",5,22,1763903858,terimakasih seller packingnya cantik seperti hadiah sellernya juga ramah dan membantu barangnya original dan berfungsi dgn normal sudah pakai seminggu semua baik2 saja semoga seterusnya awet terus ya
muhammad.dzulqarnain,"Keaslian:dijamin sangat asli dan original resmi Indonesia
Pengalaman:untuk seller sangat memuaskan dan ramah
Kualitas:sangat bagus, namanya juga hp flagship

Ada sedikit kendala di bagian ekspedisi (anteraja) saat sudah sampai ditransit terakhir dan mengendap selama 2 hari tidak dikirim ke alamat tujuan
Untung bisa ambil langsung di gudangnya

Saran dari saya lebih baik pakai ekspedisi lain aja yang lebih terpercaya",5,29,1763505967,keaslian dijamin sangat asli dan original resmi indonesia pengalaman untuk seller sangat memuaskan dan ramah kualitas sangat bagus namanya juga hp flagship ada sedikit kendala di bagian ekspedisi anteraja saat sudah sampai ditransit terakhir dan mengendap selama 2 hari tidak dikirim ke alamat tujuan untung bisa ambil langsung di gudangnya saran dari saya lebih baik pakai ekspedisi lain aja yang lebih terpercaya
singgihhidayat14,"Garansi:ada
Kondisi Barang:bagus dan real
Keaslian:ori

barang real, asli bagus, ga lecet, pengiriman cepat, respon toko baik, semoga hp nya tahan lama. tidak seperti toko lainnya",5,5,1764560779,garansi ada kondisi barang bagus dan real keaslian ori barang real asli bagus ga lecet pengiriman cepat respon toko baik semoga hp nya tahan lama tidak seperti toko lainnya
b4ng_joe,"Garansi:1 tahun langsung aktif
Keaslian:100% original
Kondisi Barang:mulus BNIB

Mantaappp, dijamin asli tembus semua 👍👍",5,10,1762704690,garansi 1 tahun langsung aktif keaslian 100 original kondisi barang mulus bnib mantaappp dijamin asli tembus semua
s*****6,"Garansi:resmi samsung guys
Keaslian:terjamin asli original
Kondisi Barang:asli segel mulus

Beli di sini barang terjamin original segel utuh no repack2 bonusnya melimpah beda sama toko yg di onoh agak pelit juga hehee but overal saya suka pelayanan sellernya good semua pertanyaan selalu di jawab dngan sabar makasih buat semuanya smoga tokonya maju terus selalu jaga kpercayaan costumernya 👍👍👍👍👍👍",5,22,1764584688,garansi resmi samsung guys keaslian terjamin asli original kondisi barang asli segel mulus beli di sini barang terjamin original segel utuh no repack2 bonusnya melimpah beda sama toko yg di onoh agak pelit juga hehee but overal saya suka pelayanan sellernya good semua pertanyaan selalu di jawab dngan sabar makasih buat semuanya smoga tokonya maju terus selalu jaga kpercayaan costumernya
ndosembiring,"Kondisi Barang:baru segel mantap
Garansi:gatau
Keaslian:asli

Feel dipegangnya terasa ok,emang flagshipnya Samsung mantap
Bantu info garansi min",5,6,1764749346,kondisi barang baru segel mantap garansi gatau keaslian asli feel dipegangnya terasa ok emang flagshipnya samsung mantap bantu info garansi min
astriherani,"Kondisi Barang:baru
Garansi:terjamin
Keaslian:original

Sangat puas, respon seller cepat, dan alhamdulilah sesuai ekspektasi, mudah2 hpnya awet dan tidak ada kendala apapun..",5,4,1760293085,kondisi barang baru garansi terjamin keaslian original sangat puas respon seller cepat dan alhamdulilah sesuai ekspektasi mudah2 hpnya awet dan tidak ada kendala apapun
atiekummuali,MasyaAllah... keren pakingnya... barangnya jg mulus dan ok. Serasa dapet gift special.,5,2,1759619236,masyaallah keren pakingnya barangnya jg mulus dan ok serasa dapet gift special
d*****e,"Keaslian:pasti original
Pengalaman:smartphone compect yang gahar
Kualitas:sangat bagus

packaging nya mantep toko yang lain pasti LEWAT plus banyak bonusnya pokoknya ga bakalan nyesel, buat yang lagi pilih pilih product samsung beli di sini aman dan menyenangkan.",5,36,1762857211,keaslian pasti original pengalaman smartphone compect yang gahar kualitas sangat bagus packaging nya mantep toko yang lain pasti lewat plus banyak bonusnya pokoknya ga bakalan nyesel buat yang lagi pilih pilih product samsung beli di sini aman dan menyenangkan
taufik_akbar,"Garansi:Resmi terdaftar berlaku 1 tahun sejak didaftarkan
Kondisi Barang:kondisi bagus tanpa cacat
Keaslian:Alhamdulillah Asli, udah teregister di my samsung.

Pengiriman super cepat ke Balikpapan, check out tanggal 3, tanggal 6 Mei udah sampai! Packaging-nya keren banget—pakai bubble wrap, box eksklusif, plus dibungkus kayak kado… berasa banget dapat hadiah. Ada notes manis juga dari penjual.

Bonusnya juga gak main-main: dapat Galaxy Fit3, kepala charger, buku catatan, sama gantungan kunci. Beli pas lagi live, harganya paling oke! Adminnya juga ramah dan fast response.

Pokoknya puas banget belanja di sini. Makasih banyak, ya! Toko ini bisa banget jadi langganan kalau cari HP. Bintang 5 tanpa ragu!",5,6,1761906159,garansi resmi terdaftar berlaku 1 tahun sejak didaftarkan kondisi barang kondisi bagus tanpa cacat keaslian alhamdulillah asli udah teregister di my samsung pengiriman super cepat ke balikpapan check out tanggal 3 tanggal 6 mei udah sampai packaging nya keren banget pakai bubble wrap box eksklusif plus dibungkus kayak kado berasa banget dapat hadiah ada notes manis juga dari penjual bonusnya juga gak main main dapat galaxy fit3 kepala charger buku catatan sama gantungan kunci beli pas lagi live harganya paling oke adminnya juga ramah dan fast response pokoknya puas banget belanja di sini makasih banyak ya toko ini bisa banget jadi langganan kalau cari hp bintang 5 tanpa ragu
tonyahmad1910,"Fitur Terbaik:barang original
Sepadan dengan Harga:puas dengan pelayanan

admin responsif, pengiriman baik, packing baik banyak bonus, jamin original bukan repack
rekomended seller",5,56,1764584851,fitur terbaik barang original sepadan dengan harga puas dengan pelayanan admin responsif pengiriman baik packing baik banyak bonus jamin original bukan repack rekomended seller
i*****s,"Pelayanan bagus, responsif, pengiriman cepat, Inshaa Allah barang ori & awet. Suka bgt sm desain mungil S23 ini ☺️",5,9,1759704936,pelayanan bagus responsif pengiriman cepat inshaa allah barang ori awet suka bgt sm desain mungil s23 ini
emyahya_,"Keaslian:asli sein
Kondisi Barang:luar biasa
Pengalaman:banyak bonusnya di toko ini

seller fast respon , BNIB garansi baru aktif ketika hp dihidupkan ,, banyak bonusnya 
pengiriman termasuk cepat",5,3,1763575196,keaslian asli sein kondisi barang luar biasa pengalaman banyak bonusnya di toko ini seller fast respon bnib garansi baru aktif ketika hp dihidupkan banyak bonusnya pengiriman termasuk cepat
