username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence
r*****5,"Keaslian:Terjamin Asli
Garansi:100% Original
Kondisi Barang:Mulus Segel Utuh

Di toko ini dijamin barang baru dan bersegera, packing nya super rapih dengan dus yg sangat bagus dan sangat aman... pakai Instant, gratis ongkir dan sampai tepat waktu... amanah dan terpercaya.. ada bonus kaos tebal dan kepala charging 25watt serta buku diary samsung.. terimakasih",5,291,1764762477,keaslian terjamin asli garansi 100 original kondisi barang mulus segel utuh di toko ini dijamin barang baru dan bersegera packing nya super rapih dengan dus yg sangat bagus dan sangat aman pakai instant gratis ongkir dan sampai tepat waktu amanah dan terpercaya ada bonus kaos tebal dan kepala charging 25watt serta buku diary samsung terimakasih,keaslian terjamin asli garansi 100 original kondisi barang mulus segel utuh di toko ini dijamin barang baru dan bersegera packing nya super rapih dengan dus yg sangat bagus dan sangat aman pakai instant gratis ongkir dan sampai tepat waktu amanah dan terpercaya ada bonus kaos tebal dan kepala charging 25watt serta buku diary samsung terimakasih,55,negative,0.30058586597442627
lusy_uci,"Garansi:garansi 1 tahun, mantap
Kondisi Barang:fresh, baru, segel
Keaslian:1.000.000%

Puas. Barang segel 100% baru. Udah cek imei garansi full 1 tahun. Bonus berkelas. Casing mahal, antigores mahal, samsung note, gantungan kunci, ah mantap. Terimakasih admin.",5,203,1764687031,garansi garansi 1 tahun mantap kondisi barang fresh baru segel keaslian 1 000 000 puas barang segel 100 baru udah cek imei garansi full 1 tahun bonus berkelas casing mahal antigores mahal samsung note gantungan kunci ah mantap terimakasih admin,garansi garansi 1 tahun mantap kondisi barang fresh baru segel keaslian 1 000 000 puas barang segel 100 baru udah cek imei garansi full 1 tahun bonus berkelas casing mahal antigores mahal samsung note gantungan kunci ah mantap terimakasih admin,40,negative,0.3454670011997223
syahrullahluqman,"Keaslian:100% original
Kondisi Barang:Baru masih segel

MasyaAllah, Toko rekomended beda dari yang lain admin ramah  fast respon. Barang yang sampai sangat safety. Banyak bonusnya juga, kalau bisa bintang 10 dah gua kasi bintang 10, tpi cmn bisa 5",5,311,1764722226,keaslian 100 original kondisi barang baru masih segel masyaallah toko rekomended beda dari yang lain admin ramah fast respon barang yang sampai sangat safety banyak bonusnya juga kalau bisa bintang 10 dah gua kasi bintang 10 tpi cmn bisa 5,keaslian 100 original kondisi barang baru masih segel masyaallah toko rekomended beda dari yang lain admin ramah fast respon barang yang sampai sangat safety banyak bonusnya juga kalau bisa bintang 10 dah gua kasi bintang 10 tpi cmn bisa 5,40,negative,0.38001611828804016
i*****v,"HP ori segel, garansi baru aktif pas di buka, charger berfungsi, banyak bonusnya.
Terima kasih.",5,127,1764665588,hp ori segel garansi baru aktif pas di buka charger berfungsi banyak bonusnya terima kasih,hp ori segel garansi baru aktif pas di buka charger berfungsi banyak bonusnya terima kasih,15,negative,0.2858036756515503
efri2109,"Pengalaman:Baru pertama kali belanja di toko ini, dan pertama kali belanja online dengan harga yang lumayan.. Tapi setelah barang sampai dijamin dan amanah
Keaslian:Setelah di cek asli
Kualitas:Bagus, pengemasan produk juga bagus dan bonus nya banyak",5,101,1764410737,pengalaman baru pertama kali belanja di toko ini dan pertama kali belanja online dengan harga yang lumayan tapi setelah barang sampai dijamin dan amanah keaslian setelah di cek asli kualitas bagus pengemasan produk juga bagus dan bonus nya banyak,pengalaman baru pertama kali belanja di toko ini dan pertama kali belanja online dengan harga yang lumayan tapi setelah barang sampai dijamin dan amanah keaslian setelah di cek asli kualitas bagus pengemasan produk juga bagus dan bonus nya banyak,39,negative,0.29840728640556335
habyvo4jmn,"Keaslian:Barang asli, tersegel rapi
Pengalaman:Meski harga lebih murah dibandingkan toko lain, tapi barangnya benar2 masih baru dan original.. Mantap.. Ada bonus botol minuman jg, anti gores, note book dan pulpennya.. Keren pokoknya
Kualitas:Kualitas bagus banget. Packing rapi, pengemasan bagus banget, dibungkus dg baik seperti kado ulang tahun😄

Anti goresnya sudah ada cara pemasangannya. Jadi bisa dipasang sendiri dengan mudah, tanpa harus pergi ke counter hp. Charger dan adaptornya berfungsi dengan baik. Terima kasih seller, tetap utamakan kualitas. Makin mengedapankan kualitas, makin banyak pelanggan yang datang.",5,27,1762071448,keaslian barang asli tersegel rapi pengalaman meski harga lebih murah dibandingkan toko lain tapi barangnya benar2 masih baru dan original mantap ada bonus botol minuman jg anti gores note book dan pulpennya keren pokoknya kualitas kualitas bagus banget packing rapi pengemasan bagus banget dibungkus dg baik seperti kado ulang tahun anti goresnya sudah ada cara pemasangannya jadi bisa dipasang sendiri dengan mudah tanpa harus pergi ke counter hp charger dan adaptornya berfungsi dengan baik terima kasih seller tetap utamakan kualitas makin mengedapankan kualitas makin banyak pelanggan yang datang,keaslian barang asli tersegel rapi pengalaman meski harga lebih murah dibandingkan toko lain tapi barangnya benar2 masih baru dan original mantap ada bonus botol minuman jg anti gores note book dan pulpennya keren pokoknya kualitas kualitas bagus banget packing rapi pengemasan bagus banget dibungkus dg baik seperti kado ulang tahun anti goresnya sudah ada cara pemasangannya jadi bisa dipasang sendiri dengan mudah tanpa harus pergi ke counter hp charger dan adaptornya berfungsi dengan baik terima kasih seller tetap utamakan kualitas makin mengedapankan kualitas makin banyak pelanggan yang datang,88,negative,0.2944384217262268
c*****0,"Sudah diterima dengan baik..
Seller fast respons, abis co langsung dikirim di hari yang sama..

Mantap..",5,16,1763384099,sudah diterima dengan baik seller fast respons abis co langsung dikirim di hari yang sama mantap,sudah diterima dengan baik seller fast respons abis co langsung dikirim di hari yang sama mantap,16,negative,0.28408193588256836
hazmisultoni1997,"Terimakasih seller, packingnya cantik seperti hadiah. Sellernya juga ramah dan membantu. Barangnya original dan berfungsi dgn normal. Sudah pakai seminggu semua baik2 saja, semoga seterusnya awet terus ya.",5,22,1763903858,terimakasih seller packingnya cantik seperti hadiah sellernya juga ramah dan membantu barangnya original dan berfungsi dgn normal sudah pakai seminggu semua baik2 saja semoga seterusnya awet terus ya,terimakasih seller packingnya cantik seperti hadiah sellernya juga ramah dan membantu barangnya original dan berfungsi dgn normal sudah pakai seminggu semua baik2 saja semoga seterusnya awet terus ya,28,negative,0.32130828499794006
muhammad.dzulqarnain,"Keaslian:dijamin sangat asli dan original resmi Indonesia
Pengalaman:untuk seller sangat memuaskan dan ramah
Kualitas:sangat bagus, namanya juga hp flagship

Ada sedikit kendala di bagian ekspedisi (anteraja) saat sudah sampai ditransit terakhir dan mengendap selama 2 hari tidak dikirim ke alamat tujuan
Untung bisa ambil langsung di gudangnya

Saran dari saya lebih baik pakai ekspedisi lain aja yang lebih terpercaya",5,29,1763505967,keaslian dijamin sangat asli dan original resmi indonesia pengalaman untuk seller sangat memuaskan dan ramah kualitas sangat bagus namanya juga hp flagship ada sedikit kendala di bagian ekspedisi anteraja saat sudah sampai ditransit terakhir dan mengendap selama 2 hari tidak dikirim ke alamat tujuan untung bisa ambil langsung di gudangnya saran dari saya lebih baik pakai ekspedisi lain aja yang lebih terpercaya,keaslian dijamin sangat asli dan original resmi indonesia pengalaman untuk seller sangat memuaskan dan ramah kualitas sangat bagus namanya juga hp flagship ada sedikit kendala di bagian ekspedisi anteraja saat sudah sampai ditransit terakhir dan mengendap selama 2 hari tidak dikirim ke alamat tujuan untung bisa ambil langsung di gudangnya saran dari saya lebih baik pakai ekspedisi lain aja yang lebih terpercaya,62,negative,0.29079511761665344
singgihhidayat14,"Garansi:ada
Kondisi Barang:bagus dan real
Keaslian:ori

barang real, asli bagus, ga lecet, pengiriman cepat, respon toko baik, semoga hp nya tahan lama. tidak seperti toko lainnya",5,5,1764560779,garansi ada kondisi barang bagus dan real keaslian ori barang real asli bagus ga lecet pengiriman cepat respon toko baik semoga hp nya tahan lama tidak seperti toko lainnya,garansi ada kondisi barang bagus dan real keaslian ori barang real asli bagus ga lecet pengiriman cepat respon toko baik semoga hp nya tahan lama tidak seperti toko lainnya,29,negative,0.33234766125679016
