username,comment,rating,likes,create_time
9c96zlmp4x,"Desain:bagus modern
Warna:warna oke sesuai pesanan
Pas untuk Acara:joging jalan jalan",5,34,1765792893
toriq120,"Warna:warna produk sesuai ekspektasi
Desain:menarik dan bagus
Bahan:tebal dan nyaman",5,7,1764985187
qevigxcnef,"Warna:warna produck sesuai
Desain:menarik dan rapi
Kenyamanan:bahan sangat nyaman waktu di pakai",5,4,1765885469
l*****9,Sangat bagus dan sesuai dengan gambar menarik dengan detail yg rapih,5,0,1763449613
ie_rnkea3v,"Desain:bagus
Warna:hitam
Pas untuk Acara:kerja

bahan nya bagus terus sesuai dengan produk diatas semoga ajaa awet dan enggaa berkarat sabuknya klo topi nya bagus sama keren sii klo dompet bagus bahan nya juga halus dan keren tetapi tolong klo bisa buat nyimpan kartu bisa ditambahin lagi sama pass saya cek dompet nya ada yang engga pass pas jahit nya tolong kalo bisa pas mau jahit dicek kembali dan dibetulin lagi soalnya tadi pas aku cek dari atas pas tapi kok pas ke bawah itu langsung panjang sebelah gitu jadi klo bisa dikoreksi kembali dan di cek kembali 
semoga pelanggan nya makin banyak dan makin rame",5,6,1759961057
rf4nilnpam,"Warna:sesuai pesanan
Desain:menarik
Kenyamanan:sangat nyaman",5,1,1760372615
17yu56rxwz,"Warna:warna bagus
Desain:menarik
Kenyamanan:bahan sangat nyaman

barang bagus cuma tadi rada panik pas nyobaim sabuk ko ga bisa dibuka rupanya qda tombol khsusnya",5,2,1764053971
argajimbon11,"Warna:sangat manarik
Desain:bagus
Kenyamanan:nyaman",5,0,1759455890
noyycsc581,,5,1,1764594583
muhammad.munir212,,5,6,1759954216
aziskusmawan,Mantap,5,3,1764053931
jezadi221002,,5,0,1759555265
8frhqsjfnb,,5,0,1761664395
irfanbarat,Warna:ok,5,0,1757754041
e*****n,,5,0,1759831397
agusrian12,Trimakasih,5,0,1758456362
7chxj9oll8,,5,0,1761472255
seviafitri333,"Warna:bagus
Desain:menarik
Kenyamanan:nyaman

Bagus banget, barangnya udah sampe dan bagus semua, murce lagi",5,0,1757004348
setyoutomo66666,Mantap jiwa.. ✌✌✌,5,3,1760330668
a4_4gbfqe_,"Warna:BAGUS
Desain:menarik
Pas untuk Acara:santai",5,0,1755400348
gus4ndy1969,"Warna:Hitam sesuai
Desain:bagus
Kenyamanan:bagus

Cuma panjang tali sabuk kurang panjang terlalu kecil",5,2,1758878287
arreghrueedd,,5,0,1759577934
fakhrulrafi399,"Warna:hitam
Desain:bagus
Kenyamanan:nyaman",5,0,1760519443
celsyamora,"Warna:hitam
Kenyamanan:bagus",5,0,1756083123
usmany474,"Warna:ok
Desain:ok
Kenyamanan:ok",5,0,1761227558
themlrsz,Keren semoga awet terus yaa,5,0,1763375973
teguh120581,"Warna:bagus
Desain:lumayan sesuai harga
Kenyamanan:lumayan nyaman",5,0,1760444167
massugik557,Pas bagus,5,0,1760678138
delapahera,"Warna:bagus
Desain:menarik
Kenyamanan:lumayan bagus",5,0,1756213117
gunsaawan,"Warna:Sesuai
Desain:Bagus
Kenyamanan:Ok lah dengan harga segitu",5,0,1760147657
