comment,tags,sentiment,is_fake,trust_score
"Desain:jam kliatan mewah dan elegan👍
Fungsi:Garansi satu tahun
Pas untuk Acara:bagus dan memuaskan👍

mahkasih paket jam tangan saya sudah sampai dengan baik dan sangat suka soalnya sangat bagus banget dan mewah buat tokonya semoga semakin laris manis dan lancar buat abang kurirnya mahkasih sudah antarkan paket saya dengan baik.👍👍👍👍👍",Puas | Senang | Kualitas Bagus,positive,False,96.1
"Desain:terlihat keren dan modern
Kualitas:bagus
Kegunaan:untuk menunjukan waktu

pesanan sudah sampai seller ramah pengemasan dan pengiriman jg cepat,jam tangan nya bagus murah bgt tp g murahan ada penunjuk tanggal nya juga dan sangat ringan cocok untuk dipakai sehari hari saat bekerja bolehlah nt beli model lain utk ganti ganti
terima kasih seller sukses selalu 
terima kasih jg abg kurir",Pengiriman Buruk | Kualitas Bagus | Harga Murah,positive,False,92.32
"Desain:menarik
Kualitas:bagus
Pas untuk Acara:resmi

Pesanan sudah diterima barang cocok harga murah toko amanah",Harga | Harga Murah,positive,False,85.18
"Desain:sangat menarik dan mewah
Kegunaan:sangat cocok untuk dijadikan kadoo
Kualitas:sangat bagus dan memuaskan

Inii sangatt mewahh sekali dengan harga 30 RB an,, ini sangatt cocok untuk kadoo, jangan raguu beli di toko ini,, ini sangat amanah sekalii, nexttt bakalan order lagiii dengan model lainn, mksihh reseller and kurirr🥰🥰🥰",Kualitas Bagus | Puas | Harga,positive,False,77.45
"Desain:sangat bangus
Kegunaan:kasih surpirse
Kualitas:sangat bagus

Gk espek sebagus ini ternyata jam nya udah free bok+batrai+pemotong rantai+lap nya juga makasih ya kk semoga suami aku suka🥰 semoga makin lancar makin sukses buat toko nya next bakal beli lagi buat aku sendiri nanti",Kualitas Bagus | Senang | Akan Beli Lagi,positive,False,80.17
"Desain:jam dengan tampilan sangat elegan dan mewah
Kegunaan:sangat untuk di jadikan kado
Kualitas:sangat bagus",Kualitas Bagus,positive,False,78.89
"Luar biasa terlihat jam mewah, tdk seperti jam murah.. Mantap.. Puas dgn barang ini.. Dgn harga segitu beserta tempat dan buku petunjuk serta dpt batre jam dan kain lap kaca jam.... Mantafffffff",Harga Murah | Puas | Harga,positive,False,87.14
"Desain:okelah

Barang sesuai photo ok lah pokoknya",,positive,False,95.96
"Desain:kren
Fungsi:dgn baik
Pas untuk Acara:apa sja

Mewah bgttttt bebsss
Pokoknya puas.. Mharga murce kualitas top dehhh

Thanks seller🥰",Puas | Kualitas Buruk,positive,False,99.12
"Desain:Bagus
Kualitas:Bagus
Pas untuk Acara:Dipakai sehari hari

Barang datang dalam kondisi baik, jamnya bagus tampilan nya elegan, next order lagi, Terima kasih",Kualitas Bagus,positive,False,88.22
"Desain:menarik
Kegunaan:cocok untuk di bawa kemana aja
Kualitas:premium",,positive,False,79.92
"Desain:menarik
Kegunaan:pake sendiri maupun kado keren ini
Kualitas:bagus bngt

Gak espec sih se cakep ini,mana packaging nya oke bngt kyk jam mhl... Baru pertama beli di toko ini , pokoknya gak nyesel next order lagi 😆😍",Pengiriman Buruk,positive,False,78.87
"Terimakasih jam nya udah sampai, udah gitu bagus lagi jamnya",Kualitas Bagus,positive,False,78.8
"Desain:jam tampilannya elegan
Kualitas:bagus dan memuaskan
Pas untuk Acara:kumpul keluarga

Pengiriman cepat sesuai dengan pesanan",Puas | Pengiriman Buruk,positive,False,90.02
"Desain:bagus mewah
Kegunaan:bagus
Kualitas:baguss bngtt demi apaa, awal nya ragu pas myampeee bjirrrr",,positive,False,80.58
"Desain:sangat bagus bos
Kualitas:terjamin
Pas untuk Acara:formal

Asli jam nya Bugus  banget bos harga 36 ribu kualitas  banget. Maksih bosss😘😘",Kualitas Bagus | Harga | Kualitas Buruk,positive,False,95.28
"Desain:mewah
Kualitas:baguss
Pas untuk Acara:santai & Resmi",,neutral,False,67.2
"Desain:bagus
Kualitas:ok
Pas untuk Acara:kerja",,positive,False,81.9
"Desain:elegan bgt
Kualitas:sangat memuaskan
Pas untuk Acara:formal dan non formal

Sangat memuaskan menurutku, suami seneng banget",Puas,neutral,False,50.67
"Desain:sangat elegan
Kualitas:sangat baik
Pas untuk Acara:segala acara

jam 35k kaya harga 350k 😂 
thanks for all ❣️",Harga,neutral,False,56.92
"Desain:jam tangan dengan tampilan elegan
Kualitas:sangat bagus

jalan-jalan",Kualitas Bagus,positive,False,84.02
,,neutral,False,11.42
"mendarat dengan selamat, lengkap tanpa cacat, barang bagus utuk harga yang murah",Barang Cacat | Kualitas Bagus | Harga | Harga Murah,positive,False,83.63
"Desain:menarik,bagus,dan elegan
Kualitas:sangat bagus
Pas untuk Acara:semua acara cocok

Jangan ragu beli disini..toko amanah..pesanan sesuai.
Jam nya bagus,elegan..mantappp🤩🤩🤩",Kualitas Bagus,positive,False,84.83
"Desain:Buagusss 😍

Niat beli buat hadiah hari guru. Alhamdulillah tokonya gercep, jam nya real pict buagusss sampek"" anak saya jd kepingin beli 😂 packing aman bubble tebak. Pak kurir yg biasanya terima kasih barang sampek dgn aman 😊",Pengiriman Buruk,neutral,False,49.06
"Desain:bagus
Kualitas:bagus

Mantap murah berkualitas tinggi ini nama nya jam gadun",Harga Murah,positive,False,84.12
"Desain:keren modern

Bagus elegant dengan harga yang terjangkau juga. Bikin cakep buat dipake kemana mana, sangat rekomendasi menurut aku",Kualitas Bagus | Harga | Direkomendasikan,positive,False,80.0
"Desain:elegan dan menarik
Kegunaan:cocok dipakai sehari hari
Kualitas:lumayan ok

Paket nya udah nyampe warna sesuai yg dipesan cuma pengemasan nya aja yg kurang rapi kotak nya penyok tp jam nya bagus suami saya suka",Warna Tidak Sesuai | Kualitas Bagus | Senang,positive,False,76.93
Sesuai expektasi... 👍👍👍,,positive,False,80.0
"Desain:bagus
Kualitas:baik

Pas utk semua acara",,positive,False,80.0
Sangat sangat puas!!👍👍👍,Puas,positive,False,77.81
,,neutral,False,12.45
"Manteb pisan neh jam 
Haturnuhun",,neutral,False,57.87
"sesuai dengan yang di pesan, segera co dehh dijamin ga nyesel",,positive,False,81.8
"bagus bangettt asli nya ga nyesel beli di sini bakal jadi toko favorit sihh next bakal order lg di sini, thankyou🤭🤭🥰😍",Kualitas Bagus,positive,False,78.12
,,neutral,False,11.0
"Desain:menarik
Kualitas:memuaskan
Pas untuk Acara:cocok untuk acara",,positive,False,79.45
baguss bangett dengan harga segituu wort it 😍,Harga,neutral,False,51.63
,,neutral,False,11.0
,,neutral,False,12.14
"Desain:bagus
Kualitas:sangat baik
Kegunaan:mantap",,positive,False,83.5
"Desain:bagus
Kualitas:semoga awet
Kegunaan:trandy

Cocok buat kado",,positive,False,79.91
,,neutral,False,11.0
"Desain:menarik
Kualitas:mewah

Semua acara",,neutral,False,51.9
"Desain:Bagus dan kerennnn
Kegunaan:sangat cocok untuk di jadikan Kado Ultah
Kualitas:sangat memuaskan",Puas,positive,False,75.01
,,neutral,False,12.45
,,neutral,False,11.0
,,neutral,False,11.8
,,neutral,False,11.0
Kualitas:sangat baik dan memuaskan,Puas,neutral,False,50.0
"Desain:elegan
Kualitas:sangat bagus",Kualitas Bagus,positive,False,83.63
"Desain:keren
Kegunaan:sangat cocok
Kualitas:oke",,positive,False,79.87
Sangat bagus,Kualitas Bagus,positive,False,75.2
Desain:elegan cucokkk,,neutral,False,49.64
"Kualitas:lumayan mantap
Desain:cakep
Pas untuk Acara:cocok segala acara",,positive,False,82.49
Desain:bagus,,positive,False,72.32
Kualitas:bguss,,neutral,False,46.73
"Desain:menarik
Kualitas:berfungsi baik 👍",,neutral,False,50.0
Sangat keren.. sesuai bajet,,positive,False,80.0
,,neutral,False,11.0
"Desain:menarik dan bagus
Kegunaan:sangat cocok di jadikan kado
Kualitas:bagus banget dan memuaskan

Bagus.  Elegan dan cocok buat acara formal dan non formal
Harga segitu dapet jam yang bagus modern dan gak pasaran",Kualitas Bagus | Puas | Harga,positive,False,77.74
"Desain:Sangat cantik
Kegunaan:Jam tangan
Kualitas:elegan

Pokoknya mantaap banget buat barang nyaa,mohom maaf tdak diberi foto karna hp saya kamera buram jadi maaf,
     Untuk barang nya sangat bagus pokonya mah",Kualitas Bagus,positive,False,78.76
Alhamdulillah akhirnya sampai juga barangnya sesuai estimasi bener2 amanah nih toko semoga di berikan keberkahan oleh Allah SWT dan makasih shopee dan kurir yg ramah,Pengiriman Buruk,positive,False,79.41
"Kualitas:Bagus banget nalah
Desain:menarik banget malah
Kegunaan:untuk aku sendiri

Pokoknya kalian gak nyesel beli jam di sini pokok mantap dan awet jam nyaa semoga lancar kak jualan nya makasih kak paket nya aman sampai tujuan nya
Maaf yaa kak gak aku Poto karena gak sempet

Apa lagi kemarin lagi promo aku dapat harga 25 Alhamdulillah ",Promo/Diskon | Harga,positive,False,78.05
,,neutral,False,11.0
"Desain:menarik
Kegunaan:cocok
Kualitas:bagus

Toko nya amanah sangat oke",,positive,False,79.92
Desain:josh,,neutral,False,47.0
"Desain:elegan
Kegunaan:kado
Kualitas:mewah

ga keliatan harga 30 ribu plis mewah banget",Harga,neutral,False,49.42
"Desain:sangat cocok dengan warna kulit gelap
Kegunaan:cocok untuk pemakaian setiap harinya
Kualitas:kesannya sangat mewahdan menawan",Warna Tidak Sesuai,positive,False,78.58
"Desain:bagus
Fungsi:buat liat waktu soalny sering lup

Bagus banget bisa styling juga",Kualitas Bagus,positive,False,79.14
"Kualitas:memuaskan
Desain:mewah
Pas untuk Acara:semua acars",,neutral,False,50.0
"Desain:jam dengan tampilan mewah
Kualitas:sangat baikk
Kegunaan:sangat cocok untuk kado

kerenn euyy 👍🏻",,positive,False,78.96
"Desain:bagus
Kualitas:blom tau
Pas untuk Acara:👍👍🤩",,positive,False,80.0
"Desain:desain bagus, aku suka sesuai dgn pidio nya.",Kualitas Bagus | Senang,positive,False,78.67
"Desain:Classy
Kualitas:Sesuai harga
Kegunaan:Untuk diri sendiri

Bagus banget ya jamnya, aku suka banget desainnya 😌",Harga | Kualitas Bagus | Senang,positive,False,79.13
"Kualitas:sangat bagus
Desain:menarik
Pas untuk Acara:pas untuk pesta dan jalan2",Kualitas Bagus,positive,False,78.15
"Desain:bagusss bangettt
Kualitas:okeeeee
Pas untuk Acara:mewahhh bangettt

Bagusss bangett kakk mewahhh bangettt",,neutral,False,47.57
"Desain:👍
Kegunaan:👍
Kualitas:sesuai dengan harganya",,positive,False,79.87
Bagus bgt MasyaAllah😍😍😘,Kualitas Bagus,positive,False,79.4
Mantap sesuwai,,positive,False,75.2
"Desain:old money vibes

ada boxnya, buku manual, lap, bahkan dikasih baterai cadangan👍👍",,neutral,False,50.0
"Desain:jam dengan tampilan yang elegan
Kualitas:terjamin dengan standar tinggi
Pas untuk Acara:harian

Bagus sesuai dengan ekspektasi",Kualitas Bagus,positive,False,79.01
"Desain:jam dengan tampilan yang elegan
Kualitas:mewah dan berkualitas
Pas untuk Acara:dipakai sehari hari",,neutral,False,50.0
"Desain:elegan
Kegunaan:jam
Kualitas:terbaik

packing rapih,orderan sesuai,warna cakep elegan dan untuk harga segini bener bener diluar ekspektasi sihh hihi thx",Pengiriman Buruk | Harga,positive,False,78.92
"Desain:jam y bagus terlihat mewah
Kegunaan:cocok buat sehari hari
Kualitas:bagus

Barang y Dateng sesuai permintaan lancar terus pokok y bos",Kualitas Bagus,positive,False,78.61
"Desain:jam tangan dengan tampilan elegan
Kualitas:terasa mewah dan berkualitas
Kegunaan:sangan cocok untuk dipakai sehari hari",,positive,False,79.95
