comment,tags,sentiment,is_fake,trust_score
"Barangnya sampe dengan selamat sentosa. Packingnya aman, bubble wrap super duper banyak. Lecet dan sebagainya gada masalah. Speaker, trackpad, layar, keyboard juga aman. Udah dapet mouse sama tas lagi. Mantap sihhh! Apalagi adminnya fastrespon parah, ini best. 100000/10 😻👍🏻",,positive,False,99.38
"Fungsi:normal
Kondisi Barang:msh sangat bagus
Spesifikasi:keren

Pertama kali beli barang elektronik secara online, awalnya agak ragu, tapi stlh barang kami terima dan dicoba pake, hasilnya sangat sangat puas....

Semoga awet...",Kualitas Bagus | Puas,positive,False,98.64
"Fungsi:Sangat Baik
Kondisi Barang:Pemakaian normal
Spesifikasi:TOP

Nyari laptop 2jtan untuk nyusun skripsi, dan nemu mac ini. Awalnya ragu karena mac os lama (takut gak support banyak hal), tapi it's fine! Semua app yang kubutuhin bisa di install termasuk SPSS (meski pakai versi 25). 

Untuk browser, karena beberapa browser termasuk safari sudah tidak support mac os 10.13 untuk versi ter-updatenya. Aku pakai firefox dengan download firefox esr-nya, browser jadi lebih update.

Overall semua bagus, performa laptop kebut, keyboard ok, backlight nyala, trackpad oke, speaker oke, baterai masih oke untuk ukuran laptop second. Sudah diinstall Ms. Office juga sama seller, bonus adobe ps, dapet tas dan mouse juga.

Terima kasih atas pelayanan dan barangnya! sukses selalu untuk seller dan tokonya.",Kualitas Bagus | Masalah Ukuran,negative,False,36.52
"Fungsi:bekerja dengan baik
Kondisi Barang:mulus dan sesuai feskripsi
Spesifikasi:mantap dan penjualnya responsif

Apk di password dan penjual sangat respect. Kurir juga baik dg menginfokn barang yg diantarkan. Terima kasih semuanya dan semoga awet barangnya.",Masalah Penjual | Pengiriman Buruk,positive,False,98.33
"Fungsi:berfungsi dengn baik
Kondisi Barang:mulussssss
Spesifikasi:good

Bagus muluss lecet dikit² mah wajar ya namanya second kalo ngak bener² di perhatiin ngak keliatan masih kayak baru dengan harga segini udah bagus banget sih
sellernya past respon minta di download in apk di download in dong, pas dateng langsung buat nugas alhamdulillah lancar semua berfungsi dengan baik dan semoga awet terimakasih seller",Kualitas Bagus | Harga | Respon Lambat,positive,False,97.74
"Paket telah diterima dengan baik. Kualitas sesuai gambar, harga terjangkau, pengemasan rapi dan pengiriman tepat waktu. Recommended seller. Terima kasih atas servis yang memuaskan. Jadi langganan disini. Suka deh.",Kualitas Buruk | Harga | Pengiriman Buruk | Puas | Senang,positive,False,97.44
"Fungsi:bekerja dengan baik
Kondisi Barang:Bagus
Spesifikasi:bagus

Meskipun keluaran 2011 tapi masih bisa di gunakan dengan baik , mantap, admin juga fast respon",Respon Lambat,positive,False,95.9
"Kondisi Barang:masih mulus, walaupun masih ad dikit bekas goresan
Fungsi:bagus, cuma Keyboard di bagian huruf setelah L ga bisa di pakai
Spesifikasi:over all bagus semua",Kualitas Bagus,positive,False,95.94
"Bagus..
Walaupun barang keluaran tahun rendah tapi ini Second berkualitas..
Sompel & penyok dikit gak ngaruh..wajar juga karna barang second",Kualitas Bagus,positive,False,93.64
"Barang sudah saya terima dengan baik dan sangat membuat dengan kondisi barang yg sangat bagus sekali, mudah digunakannya awet",Kualitas Bagus,positive,False,89.64
"Fungsi:berfungsi dgn baik
Kondisi Barang:baik dan sesuai harapan
Kegunaan:sangat cocok buat kerja, kuliah, dll, sudah dicoba umumnya bagus berfungsi dgn baik, namun nnti dicek lgi muda2han tak ada kendala dan awet, best buat penjual semoga next bs order lgi",Kualitas Bagus | Masalah Penjual,positive,False,89.65
"Fungsi:baik
Kondisi Barang:mulus
Kegunaan:baik

Sangat cocok untuk anak kuliah, bagus, elegan",Kualitas Bagus,positive,False,92.89
"Barang sudah sampai dengan selamat,kondisi baik,,thanks seler..",,neutral,False,65.07
"Fungsi:Sangat baik
Kondisi Barang:Sesuai dengan permintaan
Kegunaan:Work

Barang bagus
Berfungsi dengan baik
Sangat rekomendasi
Cocok sekali
Sesuai dengan pesanan
Ramah dan bertanggung jawab",Kualitas Bagus | Direkomendasikan,positive,False,91.94
"Fungsi:Ok
Kondisi Barang:Ok
Desain:Ok

Brg mendarat dgn baik, dari brg datang sampe skrg ada notif update software, tp gagal trus saat mau diinstal, msh dlm progres update ulang yg ke 2 x nya",,neutral,False,49.23
,,neutral,False,15.39
"Fungsi:beroperasi dengan sangat baik
Kondisi Barang:mulus no minus

Awalnya bingung cara pakai nya kyak gmna, tp sama admin di ajari dengan baik, barang ga ada cacat sama sekali, sukak bnget buat geser""ga lemot lelet, sat set deh pokok🥰 makasihh minn",Barang Cacat,neutral,False,49.1
"Kondisi Barang:ok
Fungsi:ok
Spesifikasi:ok

Seller ramah dan cepat pelayanan nya
Rekomendasi banget 
Belanja di toko ini 
👍👍👍👍👍",Direkomendasikan,positive,False,82.58
"Fungsi:perfectly work
Kondisi Barang:mulus
Spesifikasi:excellent

thanks a lot for merchant, Im very satisfied",,neutral,False,65.49
"Fungsi:ok
Kondisi Barang:mulus
Spesifikasi:mantap

Terima kasih kaa, barang masih mulus dan siap pakai. Mantap 🥳🙏🏼",,positive,False,84.24
"Fungsi:leptopnya hidup,fungsinya oke
Kondisi Barang:bekas tapi bagus,bisa dipake buat nugas dan kerja fungsinya oke lah
Desain:sangat menarik.walpun ada yang lecet penyot wkwk

Adaptornya rusak dan gak bisa ngrcas,tapi aku udah minta tolong adminya buat bantu kendala aku,dan syukur adminya ramah pool baik dan cepat respon.nanti kalau adaptor ku dikirim balik ke aku..aku baru up penilaian lagi",Barang Rusak,positive,False,73.96
"laptop mendarat dengan baik, berfungsi ok respon admin oke, rekomended dan amanah",Respon Lambat,neutral,False,53.63
"Fungsi:good l, ngebudd
Kondisi Barang:bagusss
Spesifikasi:sesuai

keluaran "" late  2011""",,positive,False,83.24
