username,comment,rating,likes,create_time,comment_clean
prio_alvino,"Fitur Terbaik:mantul

upgrade hdd ke nvme sangat terasa jauh kecepatannya, mantap",5,25,1758536903,fitur terbaik mantul upgrade hdd ke nvme sangat terasa jauh kecepatannya mantap
erjakkk,"semoga support , sempet batalin karna saya ragu soal laptop saya , intinya the best lah seller nya direspond dgn baik dan ramah sampe dicariin support ap engganya makasih seller baik",5,3,1750356440,semoga support sempet batalin karna saya ragu soal laptop saya intinya the best lah seller nya direspond dgn baik dan ramah sampe dicariin support ap engganya makasih seller baik
f*****a,"Fungsi:bekerja dengan baik
Garansi:garansi vgen
Keaslian:asli

Merk langganan dan ada service centernya",5,0,1742448608,fungsi bekerja dengan baik garansi garansi vgen keaslian asli merk langganan dan ada service centernya
d*****i,"Sepadan dengan Harga:sangat worth it
Fitur Terbaik:pnp

Harga sangat murah dibanding brand lain, namun memiliki kemampuan yg sama, sangat rekomended ini SSD!",5,0,1703127582,sepadan dengan harga sangat worth it fitur terbaik pnp harga sangat murah dibanding brand lain namun memiliki kemampuan yg sama sangat rekomended ini ssd
,Barang sesuai deskripsi... kemaren dikirim hari ini dah sampai ... rekomendet seler,5,0,1604973986,barang sesuai deskripsi kemaren dikirim hari ini dah sampai rekomendet seler
f*****o,"Sepadan dengan Harga:Di luar ada yang lebih murah, tapi toko official itu lebih trusted rasanya.

Sudah dipasang, berfungsi dengan baik, lancar dan semoga awet lama. Thanks seller....",5,0,1757760078,sepadan dengan harga di luar ada yang lebih murah tapi toko official itu lebih trusted rasanya sudah dipasang berfungsi dengan baik lancar dan semoga awet lama thanks seller
marlborosuck,"Sesuai dengan deskripsi yaa...
Udh masuk juga di slot,
Makasi buat adm nya",5,0,1694941190,sesuai dengan deskripsi yaa udh masuk juga di slot makasi buat adm nya
didiknanikovan,"Fungsi:baik
Garansi:3 tahun
Keaslian:99,9% asli

Semoga awet bisa sampai 5th lebih",5,0,1756961818,fungsi baik garansi 3 tahun keaslian 99 9 asli semoga awet bisa sampai 5th lebih
sisca_iw,"Fungsi:beroprasi dengan baik
Garansi:sesuai deskripsi
Keaslian:dijamin original

Recomended",5,0,1731926483,fungsi beroprasi dengan baik garansi sesuai deskripsi keaslian dijamin original recomended
f*****a,"Fitur Terbaik:baik
Sepadan dengan Harga:sepadan

Oke cocok. Pengiriman cepat. Respon penjual cpat",5,0,1696741903,fitur terbaik baik sepadan dengan harga sepadan oke cocok pengiriman cepat respon penjual cpat
miftahkwijalopo1234,"Barang original, sudah di coba dan berfungi sangat bagus,  terimakasih kak",5,0,1696820599,barang original sudah di coba dan berfungi sangat bagus terimakasih kak
izza.labisal,"Fungsi:sejauh jni baik
Garansi:5 tahun
Keaslian:asli

Mantap, semoga awet dan gada kendala",5,0,1732088000,fungsi sejauh jni baik garansi 5 tahun keaslian asli mantap semoga awet dan gada kendala
