username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence,text_len,char_repeat_ratio,token_repeat_ratio,dup_score,mismatch,fake_score,fake_pred
9c96zlmp4x,"Desain:bagus modern
Warna:warna oke sesuai pesanan
Pas untuk Acara:joging jalan jalan",5,34,1765792893,desain bagus modern warna warna oke sesuai pesanan pas untuk acara joging jalan jalan,desain bagus modern warna warna oke sesuai pesanan pas untuk acara joging jalan jalan,14,positive,0.75,85,0.0,0.2857142857142857,0.0,0.0,0.07142857142857142,0
toriq120,"Warna:warna produk sesuai ekspektasi
Desain:menarik dan bagus
Bahan:tebal dan nyaman",5,7,1764985187,warna warna produk sesuai ekspektasi desain menarik dan bagus bahan tebal dan nyaman,warna warna produk sesuai ekspektasi desain menarik dan bagus bahan tebal dan nyaman,13,positive,0.75,84,0.0,0.3076923076923077,0.0,0.0,0.07692307692307693,0
qevigxcnef,"Warna:warna produck sesuai
Desain:menarik dan rapi
Kenyamanan:bahan sangat nyaman waktu di pakai",5,4,1765885469,warna warna produck sesuai desain menarik dan rapi kenyamanan bahan sangat nyaman waktu di pakai,warna warna produck sesuai desain menarik dan rapi kenyamanan bahan sangat nyaman waktu di pakai,15,positive,0.75,96,0.0,0.13333333333333333,0.0,0.0,0.03333333333333333,0
l*****9,Sangat bagus dan sesuai dengan gambar menarik dengan detail yg rapih,5,0,1763449613,sangat bagus dan sesuai dengan gambar menarik dengan detail yg rapih,sangat bagus dan sesuai dengan gambar menarik dengan detail yg rapih,11,positive,0.75,68,0.0,0.18181818181818182,0.0,0.0,0.045454545454545456,0
ie_rnkea3v,"Desain:bagus
Warna:hitam
Pas untuk Acara:kerja

bahan nya bagus terus sesuai dengan produk diatas semoga ajaa awet dan enggaa berkarat sabuknya klo topi nya bagus sama keren sii klo dompet bagus bahan nya juga halus dan keren tetapi tolong klo bisa buat nyimpan kartu bisa ditambahin lagi sama pass saya cek dompet nya ada yang engga pass pas jahit nya tolong kalo bisa pas mau jahit dicek kembali dan dibetulin lagi soalnya tadi pas aku cek dari atas pas tapi kok pas ke bawah itu langsung panjang sebelah gitu jadi klo bisa dikoreksi kembali dan di cek kembali 
semoga pelanggan nya makin banyak dan makin rame",5,6,1759961057,desain bagus warna hitam pas untuk acara kerja bahan nya bagus terus sesuai dengan produk diatas semoga ajaa awet dan enggaa berkarat sabuknya klo topi nya bagus sama keren sii klo dompet bagus bahan nya juga halus dan keren tetapi tolong klo bisa buat nyimpan kartu bisa ditambahin lagi sama pass saya cek dompet nya ada yang engga pass pas jahit nya tolong kalo bisa pas mau jahit dicek kembali dan dibetulin lagi soalnya tadi pas aku cek dari atas pas tapi kok pas ke bawah itu langsung panjang sebelah gitu jadi klo bisa dikoreksi kembali dan di cek kembali semoga pelanggan nya makin banyak dan makin rame,desain bagus warna hitam pas untuk acara kerja bahan nya bagus terus sesuai dengan produk diatas semoga ajaa awet dan enggaa berkarat sabuknya klo topi nya bagus sama keren sii klo dompet bagus bahan nya juga halus dan keren tetapi tolong klo bisa buat nyimpan kartu bisa ditambahin lagi sama pass saya cek dompet nya ada yang engga pass pas jahit nya tolong kalo bisa pas mau jahit dicek kembali dan dibetulin lagi soalnya tadi pas aku cek dari atas pas tapi kok pas ke bawah itu langsung panjang sebelah gitu jadi klo bisa dikoreksi kembali dan di cek kembali semoga pelanggan nya makin banyak dan makin rame,108,positive,0.75,610,0.013114754098360656,0.5092592592592593,0.0,0.0,0.13059350333940498,0
rf4nilnpam,"Warna:sesuai pesanan
Desain:menarik
Kenyamanan:sangat nyaman",5,1,1760372615,warna sesuai pesanan desain menarik kenyamanan sangat nyaman,warna sesuai pesanan desain menarik kenyamanan sangat nyaman,8,positive,0.75,60,0.0,0.0,0.0,0.0,0.0,0
17yu56rxwz,"Warna:warna bagus
Desain:menarik
Kenyamanan:bahan sangat nyaman

barang bagus cuma tadi rada panik pas nyobaim sabuk ko ga bisa dibuka rupanya qda tombol khsusnya",5,2,1764053971,warna warna bagus desain menarik kenyamanan bahan sangat nyaman barang bagus cuma tadi rada panik pas nyobaim sabuk ko ga bisa dibuka rupanya qda tombol khsusnya,warna warna bagus desain menarik kenyamanan bahan sangat nyaman barang bagus cuma tadi rada panik pas nyobaim sabuk ko ga bisa dibuka rupanya qda tombol khsusnya,26,positive,0.75,161,0.0,0.15384615384615385,0.0,0.0,0.038461538461538464,0
argajimbon11,"Warna:sangat manarik
Desain:bagus
Kenyamanan:nyaman",5,0,1759455890,warna sangat manarik desain bagus kenyamanan nyaman,warna sangat manarik desain bagus kenyamanan nyaman,7,positive,0.75,51,0.0,0.0,0.0,0.0,0.0,0
noyycsc581,,5,1,1764594583,,,1,neutral,0.55,0,0.0,0.0,0.0,0.0,0.6,1
muhammad.munir212,,5,6,1759954216,,,1,neutral,0.55,0,0.0,0.0,0.0,0.0,0.6,1
