username,comment,rating,likes,create_time,comment_clean
9c96zlmp4x,"Desain:bagus modern
Warna:warna oke sesuai pesanan
Pas untuk Acara:joging jalan jalan",5,34,1765792893,desain bagus modern warna warna oke sesuai pesanan pas untuk acara joging jalan jalan
toriq120,"Warna:warna produk sesuai ekspektasi
Desain:menarik dan bagus
Bahan:tebal dan nyaman",5,7,1764985187,warna warna produk sesuai ekspektasi desain menarik dan bagus bahan tebal dan nyaman
qevigxcnef,"Warna:warna produck sesuai
Desain:menarik dan rapi
Kenyamanan:bahan sangat nyaman waktu di pakai",5,4,1765885469,warna warna produck sesuai desain menarik dan rapi kenyamanan bahan sangat nyaman waktu di pakai
l*****9,Sangat bagus dan sesuai dengan gambar menarik dengan detail yg rapih,5,0,1763449613,sangat bagus dan sesuai dengan gambar menarik dengan detail yg rapih
ie_rnkea3v,"Desain:bagus
Warna:hitam
Pas untuk Acara:kerja

bahan nya bagus terus sesuai dengan produk diatas semoga ajaa awet dan enggaa berkarat sabuknya klo topi nya bagus sama keren sii klo dompet bagus bahan nya juga halus dan keren tetapi tolong klo bisa buat nyimpan kartu bisa ditambahin lagi sama pass saya cek dompet nya ada yang engga pass pas jahit nya tolong kalo bisa pas mau jahit dicek kembali dan dibetulin lagi soalnya tadi pas aku cek dari atas pas tapi kok pas ke bawah itu langsung panjang sebelah gitu jadi klo bisa dikoreksi kembali dan di cek kembali 
semoga pelanggan nya makin banyak dan makin rame",5,6,1759961057,desain bagus warna hitam pas untuk acara kerja bahan nya bagus terus sesuai dengan produk diatas semoga ajaa awet dan enggaa berkarat sabuknya klo topi nya bagus sama keren sii klo dompet bagus bahan nya juga halus dan keren tetapi tolong klo bisa buat nyimpan kartu bisa ditambahin lagi sama pass saya cek dompet nya ada yang engga pass pas jahit nya tolong kalo bisa pas mau jahit dicek kembali dan dibetulin lagi soalnya tadi pas aku cek dari atas pas tapi kok pas ke bawah itu langsung panjang sebelah gitu jadi klo bisa dikoreksi kembali dan di cek kembali semoga pelanggan nya makin banyak dan makin rame
rf4nilnpam,"Warna:sesuai pesanan
Desain:menarik
Kenyamanan:sangat nyaman",5,1,1760372615,warna sesuai pesanan desain menarik kenyamanan sangat nyaman
17yu56rxwz,"Warna:warna bagus
Desain:menarik
Kenyamanan:bahan sangat nyaman

barang bagus cuma tadi rada panik pas nyobaim sabuk ko ga bisa dibuka rupanya qda tombol khsusnya",5,2,1764053971,warna warna bagus desain menarik kenyamanan bahan sangat nyaman barang bagus cuma tadi rada panik pas nyobaim sabuk ko ga bisa dibuka rupanya qda tombol khsusnya
argajimbon11,"Warna:sangat manarik
Desain:bagus
Kenyamanan:nyaman",5,0,1759455890,warna sangat manarik desain bagus kenyamanan nyaman
noyycsc581,,5,1,1764594583,nan
muhammad.munir212,,5,6,1759954216,nan
aziskusmawan,Mantap,5,3,1764053931,mantap
jezadi221002,,5,0,1759555265,nan
8frhqsjfnb,,5,0,1761664395,nan
irfanbarat,Warna:ok,5,0,1757754041,warna ok
e*****n,,5,0,1759831397,nan
agusrian12,Trimakasih,5,0,1758456362,trimakasih
7chxj9oll8,,5,0,1761472255,nan
seviafitri333,"Warna:bagus
Desain:menarik
Kenyamanan:nyaman

Bagus banget, barangnya udah sampe dan bagus semua, murce lagi",5,0,1757004348,warna bagus desain menarik kenyamanan nyaman bagus banget barangnya udah sampe dan bagus semua murce lagi
setyoutomo66666,Mantap jiwa.. ✌✌✌,5,3,1760330668,mantap jiwa
a4_4gbfqe_,"Warna:BAGUS
Desain:menarik
Pas untuk Acara:santai",5,0,1755400348,warna bagus desain menarik pas untuk acara santai
gus4ndy1969,"Warna:Hitam sesuai
Desain:bagus
Kenyamanan:bagus

Cuma panjang tali sabuk kurang panjang terlalu kecil",5,2,1758878287,warna hitam sesuai desain bagus kenyamanan bagus cuma panjang tali sabuk kurang panjang terlalu kecil
arreghrueedd,,5,0,1759577934,nan
fakhrulrafi399,"Warna:hitam
Desain:bagus
Kenyamanan:nyaman",5,0,1760519443,warna hitam desain bagus kenyamanan nyaman
celsyamora,"Warna:hitam
Kenyamanan:bagus",5,0,1756083123,warna hitam kenyamanan bagus
usmany474,"Warna:ok
Desain:ok
Kenyamanan:ok",5,0,1761227558,warna ok desain ok kenyamanan ok
themlrsz,Keren semoga awet terus yaa,5,0,1763375973,keren semoga awet terus yaa
teguh120581,"Warna:bagus
Desain:lumayan sesuai harga
Kenyamanan:lumayan nyaman",5,0,1760444167,warna bagus desain lumayan sesuai harga kenyamanan lumayan nyaman
massugik557,Pas bagus,5,0,1760678138,pas bagus
delapahera,"Warna:bagus
Desain:menarik
Kenyamanan:lumayan bagus",5,0,1756213117,warna bagus desain menarik kenyamanan lumayan bagus
gunsaawan,"Warna:Sesuai
Desain:Bagus
Kenyamanan:Ok lah dengan harga segitu",5,0,1760147657,warna sesuai desain bagus kenyamanan ok lah dengan harga segitu
marionojombang,"Warna:sesuai
Desain:oke lahh
Kenyamanan:nyaman, sesuai harga",5,0,1764329375,warna sesuai desain oke lahh kenyamanan nyaman sesuai harga
tiniazhatiniazha,"Warna:sangat bagus dan sesuai gambar
Desain:menarik
Kenyamanan:Bahan bagus",5,0,1757923588,warna sangat bagus dan sesuai gambar desain menarik kenyamanan bahan bagus
hendraahmad1997,"Warna:bagus
Desain:menarik
Kenyamanan:bahan Sagat yaman",5,0,1765097146,warna bagus desain menarik kenyamanan bahan sagat yaman
khairularrul,Ok,5,0,1758166125,ok
flx1aydp7s,"Warna:cocok
Desain:sesuai
Kenyamanan:nyaman dipakai",5,0,1758116194,warna cocok desain sesuai kenyamanan nyaman dipakai
m*****m,"Warna:sesuai
Desain:menarik
Kenyamanan:nyaman

👍👍👍",5,0,1760018797,warna sesuai desain menarik kenyamanan nyaman
fn4mxf5380,Baik,5,0,1758774376,baik
cm4wekmas4,ok sesuai,5,0,1759971784,ok sesuai
3vh9xmt_1z,"tak sesuai, seperti di gambar online",5,0,1760182121,tak sesuai seperti di gambar online
minlee612,"Warna:Sesuai
Desain:Topi nya beda dengan yg digambar
Kenyamanan:lumayan",4,0,1761884474,warna sesuai desain topi nya beda dengan yg digambar kenyamanan lumayan
m4u9uovz1h,Bagus pas dikantong kualitas ok tokonya amanah,5,0,1763468415,bagus pas dikantong kualitas ok tokonya amanah
z*****9,"Mantap, sesuai dengan pesanan",5,0,1762950609,mantap sesuai dengan pesanan
wahyuistianto242,,3,0,1760081018,nan
s*****_,"Warna:warna sesuai

pengiriman lama banget",3,0,1759412440,warna warna sesuai pengiriman lama banget
dewisyahputri563,Warna:tali pinggangnya keras,2,0,1761266082,warna tali pinggangnya keras
y*****n,Warna:gud,2,0,1757026309,warna gud
e*****f,"Warna:Sesuai gambar
Desain:Kualitas serba rendah namun elegan..
Kenyamanan:Bahan sabuk keras kayak plastik jaring topi keras kayak plastik.. Tapi di pakai lumayan nyaman serasa menggunakan produk bermerk..",5,0,1760266156,warna sesuai gambar desain kualitas serba rendah namun elegan kenyamanan bahan sabuk keras kayak plastik jaring topi keras kayak plastik tapi di pakai lumayan nyaman serasa menggunakan produk bermerk
b*****z,"Warna:sesuai
Desain:gak sesuai gambar produk yg di iklankan

Kecewa sih ya meskipun ga mahal cuman sangat ga sesuai sama gambar yg tertera kualitas nya",1,0,1761880175,warna sesuai desain gak sesuai gambar produk yg di iklankan kecewa sih ya meskipun ga mahal cuman sangat ga sesuai sama gambar yg tertera kualitas nya
abdulhasyimpane,"Warna:pas
Desain:oke topinya kok gag sesuai gambar
Kenyamanan:okelah",5,0,1760289494,warna pas desain oke topinya kok gag sesuai gambar kenyamanan okelah
dimasal_farizi19,"Warna:sangat menarik sesuai dengan gambar
Desain:menarik
Kenyamanan:bagus sesuai

Realipick barang sesuai pesanan trimakasih",5,0,1762407044,warna sangat menarik sesuai dengan gambar desain menarik kenyamanan bagus sesuai realipick barang sesuai pesanan trimakasih
m*****1,"Warna:hitam
Desain:menarik
Kenyamanan:nyaman saat dipakai

Sesuai harga, reel yg datang sama di foto👍",5,0,1762325054,warna hitam desain menarik kenyamanan nyaman saat dipakai sesuai harga reel yg datang sama di foto
f2lrg0dpld,"Barang sudah sampai dg slmt, terima kasih sm yg punya toko dan abg kurirnya",5,0,1765552584,barang sudah sampai dg slmt terima kasih sm yg punya toko dan abg kurirnya
stoymz2ql_,"Barang tidak sesuai dengan yang di foto, difoto topinya cakep ehh pas Dateng aslinya beda jauh udh gitu bhnnya ga bikin nyaman buat dipke, maklum lah murah si, sesuai harga 😅",5,0,1764404112,barang tidak sesuai dengan yang di foto difoto topinya cakep ehh pas dateng aslinya beda jauh udh gitu bhnnya ga bikin nyaman buat dipke maklum lah murah si sesuai harga
kancaturu,"Warna:hitam
Desain:menarik apik
Bahan:halus nyaman",5,4,1759392349,warna hitam desain menarik apik bahan halus nyaman
alrasyid101,Sesuai harga,4,0,1759895819,sesuai harga
harrymugianto23,"Warna:baik
Desain:baik
Kenyamanan:baik",5,0,1763686975,warna baik desain baik kenyamanan baik
herman2252,Gesper nya kaga ada,1,0,1762607883,gesper nya kaga ada
ulfa_maraili,"Bagus bgt, puas",5,0,1765630563,bagus bgt puas
44aq4q35_g,Sesuai,5,0,1765608105,sesuai
zr3wimkd14,,5,0,1761995599,nan
4cdglbyew3,,5,0,1758985805,nan
muh.irfan242,Terimakasih,5,0,1757335763,terimakasih
nazriel703,,5,0,1760486988,nan
p*****6,,5,0,1760946264,nan
roficupik,,5,0,1753534963,nan
dayatlapandenamjaranggalau,,5,0,1753892083,nan
nusha.store,,5,0,1760188153,nan
viesweetygrilz,,5,0,1760704619,nan
cpmstore1,,5,0,1760593397,nan
fiefien0411,,5,0,1759477007,nan
emi_artvertising,,5,0,1763987321,nan
kris.oktavianus,,3,0,1764414594,nan
0e2osefd96,,5,0,1762068014,nan
udin2115,,5,0,1763477693,nan
darsono212,,5,0,1765375093,nan
click_mine,,5,0,1765107738,nan
21_aimaria,,5,0,1759843048,nan
fredi.kurnianto,,5,0,1759228247,nan
manggiw_,,5,0,1761641004,nan
antrucopler,,5,0,1760239258,nan
yahdikumullah,,5,0,1759401521,nan
mirzamilan,,5,0,1762185939,nan
pahmi_anugerah,,5,0,1760251919,nan
aanmisbakhulanam,,5,0,1765679028,nan
selly.24,,5,0,1760702519,nan
maryanto92,,4,0,1762924951,nan
setia_one01,,5,0,1765625119,nan
alfarsarjiyanto,,5,0,1759818397,nan
