username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count
wellybudianto73,"Awalnya sempat Ragu Karena harga murah, tapi waktu dicoba overclock ke 3200 msh ok performance nya. Lancar tanpa gangguan. Saya uploaded semua supaya rekan2 yg mau beli jelas spek Kingston ini. Nomor seri memang sudah diskontinyu kalau cek web. Overall OK performance nya. Kondisi packing bublewarp.",5,265,1765631914,awalnya sempat ragu karena harga murah tapi waktu dicoba overclock ke 3200 msh ok performance nya lancar tanpa gangguan saya uploaded semua supaya rekan2 yg mau beli jelas spek kingston ini nomor seri memang sudah diskontinyu kalau cek web overall ok performance nya kondisi packing bublewarp,awalnya sempat ragu karena harga murah tapi waktu dicoba overclock ke 3200 msh ok performance nya lancar tanpa gangguan saya uploaded semua supaya rekan2 yg mau beli jelas spek kingston ini nomor seri memang sudah diskontinyu kalau cek web overall ok performance nya kondisi packing bublewarp,46
fahrulff14,Produk datang sesuai pesanan. Pengemasan sangat aman (bubblewrap sangat tebal). Pengiriman cepat. Produk juga original. Semoga bisa awet dan tidak ada kendala. Recomended.,5,21,1757136852,produk datang sesuai pesanan pengemasan sangat aman bubblewrap sangat tebal pengiriman cepat produk juga original semoga bisa awet dan tidak ada kendala recomended,produk datang sesuai pesanan pengemasan sangat aman bubblewrap sangat tebal pengiriman cepat produk juga original semoga bisa awet dan tidak ada kendala recomended,23
ravaacreative,"Paket berfungsi dengan baik
Terdeteksi semuanya dan berjalan dg normal
Thanks seller",5,20,1699206550,paket berfungsi dengan baik terdeteksi semuanya dan berjalan dg normal thanks seller,paket berfungsi dengan baik terdeteksi semuanya dan berjalan dg normal thanks seller,12
i*****r,"Baru pertama kali beli Kingston. Gak terlalu mengerti tentang barangnya.

Spek di dus atau ram 2666mhz CL16. Terbaca di BIOS 2400mhz. Di software 2666mhz CL19. 
Bisa beda semua.

Saran saja. Buat yang beli ram ini jangan di OC. Gak support XMP karena katanya teknologi Kingston namanya Plug n Play.",5,14,1763306946,baru pertama kali beli kingston gak terlalu mengerti tentang barangnya spek di dus atau ram 2666mhz cl16 terbaca di bios 2400mhz di software 2666mhz cl19 bisa beda semua saran saja buat yang beli ram ini jangan di oc gak support xmp karena katanya teknologi kingston namanya plug n play,baru pertama kali beli kingston gak terlalu mengerti tentang barangnya spek di dus atau ram 2666mhz cl16 terbaca di bios 2400mhz di software 2666mhz cl19 bisa beda semua saran saja buat yang beli ram ini jangan di oc gak support xmp karena katanya teknologi kingston namanya plug n play,49
b*****d,"Fitur Terbaik:good quality, Low price
Sepadan dengan Harga:Pastinya

Buat yang kalo main game patah patah (freeze) atau kalo udah punya vga bagus tapi masih patah patah ku saranin beli ini, harganya murah tapi kualitasnya bagus,",5,4,1756170342,fitur terbaik good quality low price sepadan dengan harga pastinya buat yang kalo main game patah patah freeze atau kalo udah punya vga bagus tapi masih patah patah ku saranin beli ini harganya murah tapi kualitasnya bagus,fitur terbaik good quality low price sepadan dengan harga pastinya buat yang kalo main game patah patah freeze atau kalo udah punya vga bagus tapi masih patah patah ku saranin beli ini harganya murah tapi kualitasnya bagus,37
bimaroikhan,"Fitur Terbaik:berfungsi dengan baik
Sepadan dengan Harga:harga paling murah

Berfungsi dengan baik di pc saya dengan spek i3 gen 10 gtx 1050. Harganya sih terbaik 2 pcs ram 8gb ddr4 2666mhz cuma 600rban, ditambahn voucher toko dan shopee ga sampe 600rb jatuhnya dpt 2 keping 8gb hehe
Semoga awet, walau garansi seumur hidup",5,3,1727698897,fitur terbaik berfungsi dengan baik sepadan dengan harga harga paling murah berfungsi dengan baik di pc saya dengan spek i3 gen 10 gtx 1050 harganya sih terbaik 2 pcs ram 8gb ddr4 2666mhz cuma 600rban ditambahn voucher toko dan shopee ga sampe 600rb jatuhnya dpt 2 keping 8gb hehe semoga awet walau garansi seumur hidup,fitur terbaik berfungsi dengan baik sepadan dengan harga harga paling murah berfungsi dengan baik di pc saya dengan spek i3 gen 10 gtx 1050 harganya sih terbaik 2 pcs ram 8gb ddr4 2666mhz cuma 600rban ditambahn voucher toko dan shopee ga sampe 600rb jatuhnya dpt 2 keping 8gb hehe semoga awet walau garansi seumur hidup,55
c*****7,"Fungsi:baik
Keaslian:original
Fitur:sangat baik

Hai kak... Ini sudah pesanan yg ke 2, krna pesanan yg lalu beroperasi sangat baik, mk utk ke 2 kalinya pesan di toko ini lagi... Thx yah seller semoga amanah dan berkah maaf yah telat kasih penilaian nya 🙏🙏",5,0,1725526334,fungsi baik keaslian original fitur sangat baik hai kak ini sudah pesanan yg ke 2 krna pesanan yg lalu beroperasi sangat baik mk utk ke 2 kalinya pesan di toko ini lagi thx yah seller semoga amanah dan berkah maaf yah telat kasih penilaian nya,fungsi baik keaslian original fitur sangat baik hai kak ini sudah pesanan yg ke 2 krna pesanan yg lalu beroperasi sangat baik mk utk ke 2 kalinya pesan di toko ini lagi thx yah seller semoga amanah dan berkah maaf yah telat kasih penilaian nya,45
s*****7,"Fungsi:Buat Menambah performa
Keaslian:Asli Ram
Fitur:Bagus sudah beberapa X beli.",5,1,1724728626,fungsi buat menambah performa keaslian asli ram fitur bagus sudah beberapa x beli,fungsi buat menambah performa keaslian asli ram fitur bagus sudah beberapa x beli,13
hendry.6735,"Fungsi:ram
Keaslian:asli
Fitur:ok

Sempat ragu karena harga murah dan harus berdampingan dengan corsair vengeance…..tapi termyata aman sentosa lancar jaya, makasih tokonya amanah semoga berkah, aminnn",5,2,1755532318,fungsi ram keaslian asli fitur ok sempat ragu karena harga murah dan harus berdampingan dengan corsair vengeance tapi termyata aman sentosa lancar jaya makasih tokonya amanah semoga berkah aminnn,fungsi ram keaslian asli fitur ok sempat ragu karena harga murah dan harus berdampingan dengan corsair vengeance tapi termyata aman sentosa lancar jaya makasih tokonya amanah semoga berkah aminnn,29
bossun.bossun,"Fitur Terbaik:barang sampai dengan aman

Barang sudah sampai dengan aman. dengan di bubble warp berlapis lapis jadi sangat aman. belum dicoba.",5,0,1696232640,fitur terbaik barang sampai dengan aman barang sudah sampai dengan aman dengan di bubble warp berlapis lapis jadi sangat aman belum dicoba,fitur terbaik barang sampai dengan aman barang sudah sampai dengan aman dengan di bubble warp berlapis lapis jadi sangat aman belum dicoba,22
