username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence,text_len,char_repeat_ratio,token_repeat_ratio,dup_score,mismatch,fake_score,fake_pred,trust_score
wellybudianto73,"Awalnya sempat Ragu Karena harga murah, tapi waktu dicoba overclock ke 3200 msh ok performance nya. Lancar tanpa gangguan. Saya uploaded semua supaya rekan2 yg mau beli jelas spek Kingston ini. Nomor seri memang sudah diskontinyu kalau cek web. Overall OK performance nya. Kondisi packing bublewarp.",5.0,265.0,1765631914,awalnya sempat ragu karena harga murah tapi waktu dicoba overclock ke 3200 msh ok performance nya lancar tanpa gangguan saya uploaded semua supaya rekan2 yg mau beli jelas spek kingston ini nomor seri memang sudah diskontinyu kalau cek web overall ok performance nya kondisi packing bublewarp,awalnya sempat ragu karena harga murah tapi waktu dicoba overclock ke 3200 msh ok performance nya lancar tanpa gangguan saya uploaded semua supaya rekan2 yg mau beli jelas spek kingston ini nomor seri memang sudah diskontinyu kalau cek web overall ok performance nya kondisi packing bublewarp,46,neutral,0.55,292,0.0102739726027397,0.1304347826086956,0.0,0.0,0.0351771888028588,0,69.26
fahrulff14,Produk datang sesuai pesanan. Pengemasan sangat aman (bubblewrap sangat tebal). Pengiriman cepat. Produk juga original. Semoga bisa awet dan tidak ada kendala. Recomended.,5.0,21.0,1757136852,produk datang sesuai pesanan pengemasan sangat aman bubblewrap sangat tebal pengiriman cepat produk juga original semoga bisa awet dan tidak ada kendala recomended,produk datang sesuai pesanan pengemasan sangat aman bubblewrap sangat tebal pengiriman cepat produk juga original semoga bisa awet dan tidak ada kendala recomended,23,positive,0.75,163,0.0061349693251533,0.1739130434782608,0.0,0.0,0.0450120032008535,0,96.23
ravaacreative,"Paket berfungsi dengan baik
Terdeteksi semuanya dan berjalan dg normal
Thanks seller",5.0,20.0,1699206550,paket berfungsi dengan baik terdeteksi semuanya dan berjalan dg normal thanks seller,paket berfungsi dengan baik terdeteksi semuanya dan berjalan dg normal thanks seller,12,neutral,0.55,84,0.0119047619047619,0.0,0.0,0.0,0.0029761904761904,0,67.23
i*****r,"Baru pertama kali beli Kingston. Gak terlalu mengerti tentang barangnya.

Spek di dus atau ram 2666mhz CL16. Terbaca di BIOS 2400mhz. Di software 2666mhz CL19. 
Bisa beda semua.

Saran saja. Buat yang beli ram ini jangan di OC. Gak support XMP karena katanya teknologi Kingston namanya Plug n Play.",5.0,14.0,1763306946,baru pertama kali beli kingston gak terlalu mengerti tentang barangnya spek di dus atau ram 2666mhz cl16 terbaca di bios 2400mhz di software 2666mhz cl19 bisa beda semua saran saja buat yang beli ram ini jangan di oc gak support xmp karena katanya teknologi kingston namanya plug n play,baru pertama kali beli kingston gak terlalu mengerti tentang barangnya spek di dus atau ram 2666mhz cl16 terbaca di bios 2400mhz di software 2666mhz cl19 bisa beda semua saran saja buat yang beli ram ini jangan di oc gak support xmp karena katanya teknologi kingston namanya plug n play,49,neutral,0.55,286,0.0209790209790209,0.2857142857142857,0.0,0.0,0.0766733266733266,0,63.57
b*****d,"Fitur Terbaik:good quality, Low price
Sepadan dengan Harga:Pastinya

Buat yang kalo main game patah patah (freeze) atau kalo udah punya vga bagus tapi masih patah patah ku saranin beli ini, harganya murah tapi kualitasnya bagus,",5.0,4.0,1756170342,fitur terbaik good quality low price sepadan dengan harga pastinya buat yang kalo main game patah patah freeze atau kalo udah punya vga bagus tapi masih patah patah ku saranin beli ini harganya murah tapi kualitasnya bagus,fitur terbaik good quality low price sepadan dengan harga pastinya buat yang kalo main game patah patah freeze atau kalo udah punya vga bagus tapi masih patah patah ku saranin beli ini harganya murah tapi kualitasnya bagus,37,positive,0.75,222,0.009009009009009,0.2702702702702703,0.0,0.0,0.0698198198198198,0,84.78
bimaroikhan,"Fitur Terbaik:berfungsi dengan baik
Sepadan dengan Harga:harga paling murah

Berfungsi dengan baik di pc saya dengan spek i3 gen 10 gtx 1050. Harganya sih terbaik 2 pcs ram 8gb ddr4 2666mhz cuma 600rban, ditambahn voucher toko dan shopee ga sampe 600rb jatuhnya dpt 2 keping 8gb hehe
Semoga awet, walau garansi seumur hidup",5.0,3.0,1727698897,fitur terbaik berfungsi dengan baik sepadan dengan harga harga paling murah berfungsi dengan baik di pc saya dengan spek i3 gen 10 gtx 1050 harganya sih terbaik 2 pcs ram 8gb ddr4 2666mhz cuma 600rban ditambahn voucher toko dan shopee ga sampe 600rb jatuhnya dpt 2 keping 8gb hehe semoga awet walau garansi seumur hidup,fitur terbaik berfungsi dengan baik sepadan dengan harga harga paling murah berfungsi dengan baik di pc saya dengan spek i3 gen 10 gtx 1050 harganya sih terbaik 2 pcs ram 8gb ddr4 2666mhz cuma 600rban ditambahn voucher toko dan shopee ga sampe 600rb jatuhnya dpt 2 keping 8gb hehe semoga awet walau garansi seumur hidup,55,neutral,0.55,319,0.018808777429467,0.2909090909090909,0.0,0.0,0.0774294670846394,0,53.9
c*****7,"Fungsi:baik
Keaslian:original
Fitur:sangat baik

Hai kak... Ini sudah pesanan yg ke 2, krna pesanan yg lalu beroperasi sangat baik, mk utk ke 2 kalinya pesan di toko ini lagi... Thx yah seller semoga amanah dan berkah maaf yah telat kasih penilaian nya 🙏🙏",5.0,0.0,1725526334,fungsi baik keaslian original fitur sangat baik hai kak ini sudah pesanan yg ke 2 krna pesanan yg lalu beroperasi sangat baik mk utk ke 2 kalinya pesan di toko ini lagi thx yah seller semoga amanah dan berkah maaf yah telat kasih penilaian nya,fungsi baik keaslian original fitur sangat baik hai kak ini sudah pesanan yg ke 2 krna pesanan yg lalu beroperasi sangat baik mk utk ke 2 kalinya pesan di toko ini lagi thx yah seller semoga amanah dan berkah maaf yah telat kasih penilaian nya,45,neutral,0.55,243,0.0082304526748971,0.3777777777777777,0.0,0.0,0.0965020576131687,0,48.55
s*****7,"Fungsi:Buat Menambah performa
Keaslian:Asli Ram
Fitur:Bagus sudah beberapa X beli.",5.0,1.0,1724728626,fungsi buat menambah performa keaslian asli ram fitur bagus sudah beberapa x beli,fungsi buat menambah performa keaslian asli ram fitur bagus sudah beberapa x beli,13,positive,0.75,81,0.0,0.0,0.0,0.0,0.0,0,81.9
hendry.6735,"Fungsi:ram
Keaslian:asli
Fitur:ok

Sempat ragu karena harga murah dan harus berdampingan dengan corsair vengeance…..tapi termyata aman sentosa lancar jaya, makasih tokonya amanah semoga berkah, aminnn",5.0,2.0,1755532318,fungsi ram keaslian asli fitur ok sempat ragu karena harga murah dan harus berdampingan dengan corsair vengeance tapi termyata aman sentosa lancar jaya makasih tokonya amanah semoga berkah aminnn,fungsi ram keaslian asli fitur ok sempat ragu karena harga murah dan harus berdampingan dengan corsair vengeance tapi termyata aman sentosa lancar jaya makasih tokonya amanah semoga berkah aminnn,29,neutral,0.55,195,0.0102564102564102,0.0,0.0,0.0,0.0025641025641025,0,53.58
bossun.bossun,"Fitur Terbaik:barang sampai dengan aman

Barang sudah sampai dengan aman. dengan di bubble warp berlapis lapis jadi sangat aman. belum dicoba.",5.0,0.0,1696232640,fitur terbaik barang sampai dengan aman barang sudah sampai dengan aman dengan di bubble warp berlapis lapis jadi sangat aman belum dicoba,fitur terbaik barang sampai dengan aman barang sudah sampai dengan aman dengan di bubble warp berlapis lapis jadi sangat aman belum dicoba,22,neutral,0.55,138,0.0072463768115942,0.4545454545454545,0.0,0.0,0.1154479578392621,0,48.27
