username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence,text_len,char_repeat_ratio,token_repeat_ratio,dup_score,mismatch,fake_score,fake_pred
12afif,"Fungsi:lumayan buat ngegame
Fitur:bagus
Kegunaan:buat game ringan

Pc bagus tinggal tambah VGA tambah gacor buat game",5,67,1765671752,fungsi lumayan buat ngegame fitur bagus kegunaan buat game ringan pc bagus tinggal tambah vga tambah gacor buat game,fungsi lumayan buat ngegame fitur bagus kegunaan buat game ringan pc bagus tinggal tambah vga tambah gacor buat game,19,positive,0.75,116,0.017241379310344827,0.47368421052631576,0.0,0.0,0.12273139745916514,0
ghalyatayaataya,Alhamdulillah barang udah sampai dg aman dan packingnya rapi bget komputernya udh di cb dan bs nyala semua dan tidak ada yg rusak terima kasih kak,5,297,1765884586,alhamdulillah barang udah sampai dg aman dan packingnya rapi bget komputernya udh di cb dan bs nyala semua dan tidak ada yg rusak terima kasih kak,alhamdulillah barang udah sampai dg aman dan packingnya rapi bget komputernya udh di cb dan bs nyala semua dan tidak ada yg rusak terima kasih kak,26,negative,0.75,146,0.00684931506849315,0.11538461538461539,0.0,1.0,0.23055848261327716,0
rantau_cell,"Desain:Bagus
Fungsi:Multitasking
Fitur:Sangat baik

Mulus dan berfungai dgn baik, pelayanan n pengiriman cepat gak sampai 3 hari ke Banten 🙏 mudah2an barangnya awet. Terima kasih buat seller !",5,22,1765639908,desain bagus fungsi multitasking fitur sangat baik mulus dan berfungai dgn baik pelayanan n pengiriman cepat gak sampai 3 hari ke banten mudah2an barangnya awet terima kasih buat seller,desain bagus fungsi multitasking fitur sangat baik mulus dan berfungai dgn baik pelayanan n pengiriman cepat gak sampai 3 hari ke banten mudah2an barangnya awet terima kasih buat seller,29,positive,0.75,185,0.005405405405405406,0.06896551724137931,0.0,0.0,0.01859273066169618,0
syamuddin68,"Mntaf brang sesuai yg di pesan & menyala jos mntaf, aksesoris jg lengkap smua...trimakasih",5,72,1765249029,mntaf brang sesuai yg di pesan menyala jos mntaf aksesoris jg lengkap smua trimakasih,mntaf brang sesuai yg di pesan menyala jos mntaf aksesoris jg lengkap smua trimakasih,14,positive,0.75,85,0.0,0.14285714285714285,0.0,0.0,0.03571428571428571,0
trisna..kusuma,"Sepadan dengan Harga:bagus
Fitur Terbaik:bisa gta v

Bagusss bintang berbicara",5,19,1762174766,sepadan dengan harga bagus fitur terbaik bisa gta v bagusss bintang berbicara,sepadan dengan harga bagus fitur terbaik bisa gta v bagusss bintang berbicara,12,positive,0.75,77,0.025974025974025976,0.0,0.0,0.0,0.006493506493506494,0
ryvenzyxyz,"Fitur:lumayan
Fungsi:konten kreator
Kegunaan:main game GTA SAMP

Lumayan lah walaupun agak sedikit karat di bagian moderbot dan rada basa sedikit",5,68,1765823781,fitur lumayan fungsi konten kreator kegunaan main game gta samp lumayan lah walaupun agak sedikit karat di bagian moderbot dan rada basa sedikit,fitur lumayan fungsi konten kreator kegunaan main game gta samp lumayan lah walaupun agak sedikit karat di bagian moderbot dan rada basa sedikit,23,neutral,0.55,144,0.006944444444444444,0.17391304347826086,0.0,0.0,0.04521437198067633,0
ahmadirsan18,"Fungsi:beroperasi dengan baik
Desain:sesuai dengan pesanan
Fitur:bagus dan sudah terisi banyak game

Mdh2n awet , terima kasih",5,17,1764062447,fungsi beroperasi dengan baik desain sesuai dengan pesanan fitur bagus dan sudah terisi banyak game mdh2n awet terima kasih,fungsi beroperasi dengan baik desain sesuai dengan pesanan fitur bagus dan sudah terisi banyak game mdh2n awet terima kasih,19,positive,0.75,123,0.0,0.10526315789473684,0.0,0.0,0.02631578947368421,0
f*****8,"Fungsi:semua komponen beroperasi dengan baik
Desain:keren dan modern
Fitur:bagus dan berguna

Next order",5,10,1760793953,fungsi semua komponen beroperasi dengan baik desain keren dan modern fitur bagus dan berguna next order,fungsi semua komponen beroperasi dengan baik desain keren dan modern fitur bagus dan berguna next order,16,positive,0.75,103,0.0,0.125,0.0,0.0,0.03125,0
andika_widi_nugroho,"Barang sudah di terima dengan baik pacing aman banget 
Mesti awalnya bingung akhirnya bisa juga
Rekomend buat yg mau blajar pke pc
Harga murah kualitas baru",5,65,1762132878,barang sudah di terima dengan baik pacing aman banget mesti awalnya bingung akhirnya bisa juga rekomend buat yg mau blajar pke pc harga murah kualitas baru,barang sudah di terima dengan baik pacing aman banget mesti awalnya bingung akhirnya bisa juga rekomend buat yg mau blajar pke pc harga murah kualitas baru,26,neutral,0.55,155,0.0,0.0,0.0,0.0,0.0,0
anangmaaruf037,"Fitur Terbaik:paling terbaik selama pemesanan dishopee
Sepadan dengan Harga:harga mudah dijangkau spek nya bagus skali",5,62,1765751011,fitur terbaik paling terbaik selama pemesanan dishopee sepadan dengan harga harga mudah dijangkau spek nya bagus skali,fitur terbaik paling terbaik selama pemesanan dishopee sepadan dengan harga harga mudah dijangkau spek nya bagus skali,17,positive,0.75,118,0.00847457627118644,0.23529411764705882,0.0,0.0,0.060942173479561317,0
