username,comment,rating,likes,create_time
mtakrip,"Paket telah diterima sesuai pesanan, cpu gaming core i5 2 fan RGB, ram 16gb SSD 256gb hd 500gb. Semoga awet dan tidak bermasalah. Terima kasih seller. 👍",5,59,1765883802
stylle_bwx1,"Fungsi:sangat baik
Desain:kerean abiss
Spesifikasi:perfect

Admin fastrepon banget
Semoga semakin laris kak.trimskasih",5,43,1765286294
f*****7,CPU Gaming Editing Core i5 RAM 4Gb  + ssd 128Gb. Paket sudah diterima dengan baik. Semoga bermanfaat dan awet. Hanya saja paket file game tidak disertakan..,5,16,1764928228
samuel_fernandez,"Fungsi:ok
Desain:ok
Spesifikasi:core i5

Barang telah sampai dan telah kami terima dengan baik barang sesuai pesanan Sudah Dicoba ya Mantap cepat",5,11,1763446521
haydarhamdany,"Desain:sesuai
Fungsi:baik semoga bajk terus
Spesifikasi:sesuai",5,12,1764432488
y*****y,"Fitur Terbaik:yes
Sepadan dengan Harga:good

Seauai pesanan, casing gaming rgb, motheboard h61 ram 8 gb ssd 256..sesuai diskripsi.. amanah.. Goodjob. Nexttimes bs order lagi.. recomended seller..",5,16,1765838562
mg270985,"Barang sudah di Terima dg baik, packing rapi, barang 100% baru dan dapat bonus wifi .. Mantap... Good seller, kedepan nya order lgi di toko ini..",5,22,1764831557
nestvape,"Fungsi:berfungsi dengan baik
Desain:menarik

Pengiriman cepat recomend seller mudah 2an Awet",5,27,1765467548
afnancellular,"Desain:mantap
Fungsi:sesuai

Baru sekali order pelayanan ny bagus. Gak nyesel beli di sini fast respon. Makasih kak",5,0,1763440452
zainurialadhim,"Desain:lumayan
Fungsi:baik

Sebenarnya casing dan 4 saya kira seperti di gambar desainnya tapi tidak masalah intinya performa bagus dah sesuai semuanya",5,4,1764546091
o*****v,"Fungsi:berfungsi
Desain:baguss

Sangaaaatttt bagussss mantaappppp rapih dann  cakepppp trimakasihhh sellleeerrr",5,4,1765517682
bahrulyahya,"Puas sekali gan, dari bandung ke kediri 3 hari langsung sampai. Produknya tidak mengecewakan 🥰.
Seneng banget, terimakasih",5,5,1764044881
azzam_azzan,"Fungsi:beroperasi dengan baik
Desain:desain bagus menarik

Buat game,buat edit vide",5,11,1764259799
z*****k,"Fungsi:Belum di coba
Desain:Menarik

Work it...kalau di lihat dari packing'nya niat bgt sih..sudah di rakit dengan rapih, box/bungkus juga ikut dibawakan..saya rasa ini amanah 100%, mudah""an no kendala, no minus..buat tokonya lancar terus usahanya 👌",5,13,1764259802
m.irsyadoffial,"Desain:bagus
Fungsi:berkerja sangat baik
Kegunaan:kenceng sesuai deskripsi ya aku older",5,2,1763886335
k*****t,"Fungsi:beroperasi dengan baik
Desain:menarik

Sesuai dengan deskripsi semoga awet",5,9,1765208425
miftah444,"Desain:keren ky aquarium
Fungsi:fast

Baik n cepet ya mudah2 awettttttttttttttttt aja sh",5,2,1763480712
azimaanum,"Fungsi:mantap, tokonya amanah
Desain:pokoknya untung banget kalo belanja ditoko ini
Kegunaan:sangat memuaskan, moga lancar dan barokah, amin",5,4,1763442071
z*****8,"Fungsi:sesuai dengan deskripsi
Desain:mini",5,15,1765517716
rohmad.imam.saputro,"pelayanan gercep, baik, ramah. fast respon, terbaik pokoke.
sukses selalu om, sehat, lancar, berkah barokah.
matur suwun (Terima kasih)",5,0,1763441506
c*****x,"Fungsi:work itu banget
Desain:mewah
Spesifikasi:sesuai dengan harapan

Alhamdulillah pesanan saya telah sampai dengan selamat terimakasih seller sesuai dengan deskripsi dan work it 
Buat yg mau beli komputer jangan ragu di toko ini",5,13,1763446259
ainulyaqin175,Alhamdulillah berfungsi dengan baik pengiriman rapi dan tidak ada kerusakan apa pun amanah,5,0,1764453774
angga_wahyudi,"Fungsi:bekerja dngan baik
Desain:menarik

Toko amanah sesuai pesanan",5,2,1764436319
risaalawiah177,"Bagus sesuai harga, sayang bonus doogle wifi nya ga nyala. Tp GPP..",5,2,1763446712
t*****7,"Fungsi:ok
Desain:bagus
Spesifikasi:lumayan

Belum di tes semoga awet",3,7,1761175118
seahafis,Barang sudah sampai packing rapih pakai kayu tapi belum dicoba semoga bisa nyala,5,5,1765883538
irpan_hatuwe,Mantap. Toko amanah. Packingnya kuat bgt. Smpe  di ambon maluku dengan baik. Rapi.,5,1,1763440369
benbenzz294,"Fungsi:sangat bagus
Desain:menarik dan esteti

geming editing",5,1,1765592741
doni.okley,"Fungsi:sesuai
Desain:menarik
Kegunaan:baik

Terima kasih min",5,1,1758692167
radhikawidhyalfiansyah,"Desain:ok
Fungsi:sebagai mesti nya
Kegunaan:editing",5,0,1764125291
nuriel.al.haira,"pesan 2 kipas dapat 1 kipas dan lodingnya tidak bisa, alias tudak bisa di pakai",3,9,1763713699
randyaditya75,"Fungsi:mantap
Desain:Keren.menyala abangku
Kegunaan:GAMING",5,0,1763440432
thalita_fatin,,5,0,1765296895
kasjani22,,5,1,1758895619
auraulda,,5,5,1763446372
farhan15052018,,5,1,1763441114
b*****d,,5,2,1763442185
g*****i,"Desain:kerren
Fungsi:Alhamdulillah selain kipas .. lainnya masih berjalan baik .  sudah seminggu 

Gak ada gamenya .. masih proses nanya .. dideskripsi kataya di instal skaligus.

Kalo game harus request+updatevga ,
Kipas prosesor rusak,daya dinamonya sudah ndak kuat, di fasilitasi ganti, tapi onkir ndak seimbang dengan harga barang.. ",3,5,1765906413
rahmirobi,"Alhamdulillah masya Alloh tabarakalloh,,hatur nuhun sing awet pisan aamiin",5,1,1763442714
f*****0,"Fungsi:CPU NYA BERFUNGSI DENGAN BAIK
Desain:casing nya bagus",5,2,1763443232
c*****y,,5,1,1763446176
bintangdevelopernbwt,,5,2,1764258991
renzzz777,"Fungsi:blom d coba
Desain:ok mantap
Spesifikasi:ok",5,0,1763446271
iwannasiri,,5,0,1751288647
khodan83,,5,2,1763441411
musafir_phone,,5,1,1763442065
unding_jonga,,5,0,1764838148
hilman_alrasyid,,5,1,1763441927
n*****l,,5,0,1763441277
i*****r,,5,0,1763443194
sarsitisiti253,Fungsi:bekerja dengan baik,5,0,1763441904
npadiaproject,,5,0,1763441376
endang_margana,,5,2,1759967763
ckr5obt7d3,Alhamdulillah bagus. sesuai. Terima kasih banyak. Semoga awett. Aamiin..,5,1,1763446054
ahmad7170,,5,0,1764454848
00xvlbpzj_,,5,1,1763442556
naomigaming,Fungsi:Seusai harga,5,1,1759203565
faizawwalu,Kerenn sihh minn tapii cumaa ituu kabell nya yang kurang rapii dikitt,5,0,1763442046
f*****a,"respon seller cepet....bisa consult via chat
barang sesuai
berfungsi
moga awet",5,0,1763441577
a_ngongo82,"Fungsi:bekerja dengan baik
Desain:sangat elegan
Kegunaan:sangat berguna untuk macam2 keperluan",5,0,1763443024
ekoimamsutrisno,"warna request putih, yg datang hitam
utk os, msh bisa ditolerir",3,2,1764125048
macihliska,"Fungsi:Normal tidak ada kendala
Desain:Rakitan Rapih
Kegunaan:Cpu Standard ram8gb/ssd512gb/windows10/64bit",5,0,1763441435
kudapan76,"Fungsi:belom dicoba
Desain:bagus",5,1,1763589051
_718ui0gvn,"Fungsi:belum dicoba
Desain:bagus",5,0,1747818465
g*****3,"PC berguna dengan baik, cable management rapih
Puas banget",5,0,1763441552
fixedstore8,"Fungsi:baik
Desain:baikk

Awalnya saya ragu krna datang takut rusak ternyata packing super aman pake kayu josss pokoknya..",5,0,1763440351
senandunggamers,"Desain:mantap
Fungsi:beroperasi dengan baik, mnatap

semoga awet tahan lama",5,0,1763440483
kevin_cell_computer,,5,0,1763442546
mur150589,"Fungsi:bekerja dengan baik
Desain:menarik
Kegunaan:sesuai harapan",5,0,1763442818
rival_du,"Fungsi:aman
Desain:bagus
Kegunaan:aman

Bagus...ada lampunya..wlaupun hitam tetap terlihat cantik ktna ad lampunya..mksih seller..packingan mantap..pake kayu..ngak boong...seller amanah..mksih seller",5,1,1763442264
radja69,,5,0,1764125300
dedeagus014,"Desain:Keren
Kegunaan:satset pengirimannya

Barang sdh sampai , tp blm di cek",5,0,1763440974
shalsaa012,Fungsi:berfungsi dengan baik,4,1,1758895577
fermyyantotarigan,Fungsi:mantap,5,0,1763441621
sisurya72,"Fungsi:pc
Desain:bagus
Kegunaan:komputer, belum di coba,semoga bagus",5,0,1763442899
r*****t,"Fungsi:beroperasi dengan baik
Desain:menarik",5,0,1764861932
muhammadfadil25,"Fungsi:bekerja dengan baik
Desain:good condition",5,0,1763442616
wahyurentalps,Bagus sesuai deskripsi,5,0,1763440539
biggift,"Desain:ok
Fungsi:ok
Kegunaan:ok

Ok",5,0,1763440486
madinastoree.id,"Kegunaan:pesennya apa datangnya apa,aneh

di deskirpsi softweare udah di instal semua
pas datang cuma ada dua yang buat editing,katanya free file game,satupun aga ada file di dalam pc
emang kagak sesuai deskripsi sama foto produk

giliran di tanya malah suruh baca desakripsi",1,1,1764669852
t*****9,,4,1,1763446234
ravennbece,,4,1,1765906430
alii.abdullah,Apk yang di instal tidak sesuai yang ada di deskripsi cuma ada 2 apk,3,0,1764125034
dedeiros,barang bagus,5,0,1765371887
h*****2,Gak ad vga nya,1,0,1764124877
biancopray,"Berfungsi dengan baik dan bagus, semoga awet dan bisa di pakai jangka panjanh",5,0,1764983348
a*****n,"Desain:berfungsi normal
Fungsi:bekerja dengan baik
Kegunaan:tinggal upgrade vga card 4G

Untuk digital recording ok sekali",5,0,1764125210
winarnobudo,"Fungsi:baik normal
Desain:menarik

Normal, cepat, amanah, 3 unit",5,0,1764293261
winarnobudo,"Fungsi:bagus ok
Kegunaan:normal 
Desain:kecil manis, elegan

Sangat baik
Toko Amanah, respon cepat, recomanded....",5,0,1764125252
adendioz,"Desain:lumayan
Fungsi:baik

Saya ulasa dengan jujur teman teman
Penjual tidak amanah dan tidak jujur kawan saya pesan yang 2 fan / kipasa malah yang dapat cpu standar
Dan lucunya lagi penjual di minta tanggung jawab sekaan tidak mau malah mau di kirim satu saja yang satu alasan nya udah di ganti lamu  LED kan konyol
Kamu yang mau Bali bisa lihat histori chat saya di ulasan",1,2,1765453919
elriobeat,"Sampai di papua selatan,Merauke dengan Keadaan Normal admin Ramah❤️",5,0,1763440213
delicestore,"Desain:keren banget
Fungsi:bekerja dengan baik.. no kendala

Selller ramah,,mudah diajak konsultasi.. Produk sesuai iklan..  Rekomendasi seller..
Semoga awet...nex belanja lagi",5,0,1763440461
nurlel4,"Semuanya lengkap, barang masih bagus... 
Terima kasih Shoppe, trma kasih Kurir",5,0,1763440875
firmanbaf08,"Respon toko dan admin cepat, barang tiba dgn baik packingny baik, cuma sayang untuk gameny harus diseting2 dulu gak langsung bisa dimainkan, Secara All okela, thanks untuk tokonya dan shopie",4,0,1763441357
azzril_15_,"Fungsi:belum dicoba
Desain:keren
Kegunaan:belum di coba masih menunggu monitor nya datang",5,2,1763441403
riandika2113,"Fungsi:Langsung pasang aja.
Desain:Dapat bonus mantap
Kegunaan:Walaupun ada yg benkok bagian case nya masih fungsi",5,1,1763441547
hokkitabag,"Desain:barang yg datang tidak sesuai pesanan, dikirim model lain, padahal sudah chat sebelumnnya, payahhh untung gk dikirim spek yg standar",1,4,1764125082
dmpx1ce84k,"Fungsi:bagus bgt cuman memory agak kendor
Desain:mantap rekomd bgt",5,0,1763442206
fartcell9,"Fungsi:dgn baik
Desain:krenlaah mantap
Kegunaan:multi pungsi",5,0,1763442335
novaopickdevara,"Fungsi:bekerja dengan baik
Desain:bagus

Sesuai harapan..lancar jaya. Nex order lagi di toko ini",5,0,1763446606
xhlsj2i8jb,"Desain:baik
Fungsi:baik
Spesifikasi:bagus

Bagus sesuai harga",5,2,1763446882
a*****r,,5,0,1765521973
tedyhidayat,"Fungsi:ok
Desain:keren

Sesuai pesanan",4,0,1765717438
ibraphotostudio,"Desain:lumayan
Fungsi:belum dicoba
Kegunaan:baik",3,0,1764124858
freyana48,Desain:cuma salah di warna,4,0,1763440200
aldyjrc,Kondisi normal dan baru,5,0,1763440275
enda_shop,,5,0,1763440299
naenzul687,"Desain:menark
Fungsi:baik

Semoga awet",5,0,1763440493
khganz,"Desain:unik
Fungsi:bekerja susai fungsinya

Bagus",5,1,1765791855
asepsupri2491,"Fungsi:Ok
Desain:Mewah
Kegunaan:Berfungsi normal",5,0,1763441630
surissetiawan12,"Fungsi:normal
Desain:ok
Kegunaan:woke",5,0,1763442273
dienk1990,,5,2,1763442321
rizqituahuns,Desain:mantap,5,0,1763446843
caccu21,,5,0,1764125233
malikzaki01,,5,0,1764340210
tajudinandy,,5,0,1764397278
rudie266,,5,0,1764839700
rudie266,,5,0,1765279596
rudie266,,5,0,1765371796
nikmahmafnan,,5,0,1747818166
asklinjabar,,5,0,1763439672
tgkfahry,,5,0,1765068340
admdafido,,5,0,1747817905
kurniawan_04,,5,0,1765623483
durrimisbahussurur,,5,0,1765342435
a*****2,,5,0,1765438608
mulyantonur82,,5,0,1764396389
wowojaty,,5,0,1758347377
bang_jarot96,,5,0,1764938958
latif.athaillah,,5,0,1765281066
idasmira,,5,0,1765275630
erwinofficial526,,5,0,1765091706
radio_trirama_931,,5,0,1765114318
yusupsidiqacbt,,5,0,1764493021
ilham3hananto,,5,0,1764392107
o*****q,,5,0,1764125217
devaridik,,5,0,1765685124
rian2114cn,,5,0,1763439652
fermyyantotarigan,,5,0,1764125260
fermyyantotarigan,,5,0,1764125262
wayuuuuuu02,,5,0,1764125266
geri.rahman88,,5,0,1763439741
qyhcr7j343,,5,0,1763439733
16bahar,,4,0,1763439762
eziifahrezii134,,5,0,1747818322
bambangrojalifebriansyah,,5,0,1758347536
r*****1,,5,0,1763439803
dikaa592,,5,0,1763439822
herman83,,5,0,1758347563
aanagusa0101,,5,0,1763440091
nurrohman3444,,4,0,1763439829
akmal.sumadika26,,5,0,1758347624
palem79net,,5,0,1758347629
ephyalba,,5,0,1758347632
nicko2031,,5,0,1758347662
rudie266,,5,0,1763440187
adeherdi011192,,5,0,1763440143
herizuhe93,,4,0,1763440105
n*****o,,5,0,1747819678
ragiezkasa,,5,0,1763440192
halimkarimtwins,,5,0,1763440261
btr.network,,5,0,1763440323
muri0484,,3,0,1764124881
ferryreyz,,5,0,1763440390
g*****1,,5,0,1763440305
masrony1979,,5,0,1763440402
w5ov41i1rt,,5,0,1763440366
dickyriansyahh,,5,0,1763440501
alizidan235,,5,0,1763440529
baladewe_miniatur,,5,0,1763440547
ithooasbanu,,5,0,1763440456
ilhamcell802,,5,0,1763440464
samsudin.cirebon,,5,0,1747820255
rachmadim,,1,0,1764124994
fp9z_d8zfq,,5,0,1763440534
padepokansatriapurnama,,5,0,1763440611
saliembahresy,,5,0,1763440860
rafiash316,,5,0,1763440881
rudie266,,5,0,1763440976
awaludinwindi06,,5,0,1763440895
sesiliatheo23,,5,0,1763440897
mohamadical,,5,0,1763440947
ridwanpanjaya,,5,0,1763440953
satura94,,5,0,1763440992
izumierika150,,5,0,1763441015
rudie266,,5,0,1763441132
imoonimoon179,,5,0,1763441105
a*****k,,5,0,1763441172
a*****k,,5,0,1763441174
rudie266,,5,0,1763441381
qass2yruik,,5,1,1763441391
maktabahnq5,,5,0,1763441462
storehnb700,,5,0,1763441397
fadelsyahbana,,5,0,1763441495
081291043430rey,,5,0,1763441529
