username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count
h3r1kis,"Fungsi:belum di coba
Desain:menarik
Spesifikasi:sesuai deskripsi

Paket mendarat aman sesuai harapan pakai packing kayu kardus desain pc menarik bagus pengiriman cepat seller amanah cepat respon",5,3,1763446489,fungsi belum di coba desain menarik spesifikasi sesuai deskripsi paket mendarat aman sesuai harapan pakai packing kayu kardus desain pc menarik bagus pengiriman cepat seller amanah cepat respon,fungsi belum di coba desain menarik spesifikasi sesuai deskripsi paket mendarat aman sesuai harapan pakai packing kayu kardus desain pc menarik bagus pengiriman cepat seller amanah cepat respon,28
irma020894,"Desain:keren
Fungsi:berfungsi dengan baik

Sesui keren packing kayu jadi aman sampai kalimantan,, semoga awet",5,4,1764912254,desain keren fungsi berfungsi dengan baik sesui keren packing kayu jadi aman sampai kalimantan semoga awet,desain keren fungsi berfungsi dengan baik sesui keren packing kayu jadi aman sampai kalimantan semoga awet,16
idocountil,,5,11,1762364122,,nan,1
faisalfaisal084,,5,4,1764251431,,nan,1
miki.suhari,"Desain:menarik
Fungsi:baik
Spesifikasi:cpu core i7 2600 casing m atx black

Seller raman dan solutif serta fast respon, barang dikirim dengan packing kayu rapih, aman terjamin recommended sih",5,0,1763439685,desain menarik fungsi baik spesifikasi cpu core i7 2600 casing m atx black seller raman dan solutif serta fast respon barang dikirim dengan packing kayu rapih aman terjamin recommended sih,desain menarik fungsi baik spesifikasi cpu core i7 2600 casing m atx black seller raman dan solutif serta fast respon barang dikirim dengan packing kayu rapih aman terjamin recommended sih,30
a*****a,"Terima Kasih y, Semoga Sukses Selalu Tokonya (AMIN), Dan Sehat terus buat Kurirnya juga.",5,0,1763441468,terima kasih y semoga sukses selalu tokonya amin dan sehat terus buat kurirnya juga,terima kasih y semoga sukses selalu tokonya amin dan sehat terus buat kurirnya juga,14
firlifirly,Oke,5,0,1751288594,oke,oke,1
sapa_manimg,"Desain:ok
Fungsi:aman

Lumayan",5,0,1763442792,desain ok fungsi aman lumayan,desain ok fungsi aman lumayan,5
dennygouw,,5,0,1763439816,,nan,1
s*****p,,5,0,1747819921,,nan,1
areamirah.id,,5,0,1763440506,,nan,1
bumi01,,5,0,1763446498,,nan,1
