username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence
o*****e,"Fitur Terbaik:ok
Sepadan dengan Harga:ok

Moga lancar n sukses
Order yg kesekian kali
Pokoknya Mantab
Amanah",5,2,1752906985,fitur terbaik ok sepadan dengan harga ok moga lancar n sukses order yg kesekian kali pokoknya mantab amanah,fitur terbaik ok sepadan dengan harga ok moga lancar n sukses order yg kesekian kali pokoknya mantab amanah,18,neutral,0.55
galenalvian,"Fungsi:normal
Fitur:mantap

mantap brokk udah 2 kali beli di toko ini tidak mengecewakan, produk berfungsi normal brokk, harganya juga murahh 🔥🔥🔥😋😋",5,7,1765095708,fungsi normal fitur mantap mantap brokk udah 2 kali beli di toko ini tidak mengecewakan produk berfungsi normal brokk harganya juga murahh,fungsi normal fitur mantap mantap brokk udah 2 kali beli di toko ini tidak mengecewakan produk berfungsi normal brokk harganya juga murahh,22,negative,0.75
y*****e,"Fitur Terbaik:16 gb
Sepadan dengan Harga:yes

sudah terpasang tanpa kendala di asus x555ba, puas beli memori di toko ini",5,4,1752397445,fitur terbaik 16 gb sepadan dengan harga yes sudah terpasang tanpa kendala di asus x555ba puas beli memori di toko ini,fitur terbaik 16 gb sepadan dengan harga yes sudah terpasang tanpa kendala di asus x555ba puas beli memori di toko ini,21,positive,0.75
f*****y,Barang sudah diterima dengan aman. Barang sesuai dengan deskripsi. Pengemasan dan Pengiriman cepat. Terima kasih....,5,26,1763506341,barang sudah diterima dengan aman barang sesuai dengan deskripsi pengemasan dan pengiriman cepat terima kasih,barang sudah diterima dengan aman barang sesuai dengan deskripsi pengemasan dan pengiriman cepat terima kasih,15,positive,0.75
n*****8,"Garansi:bergaransi
Fungsi:berfungsi normal
Fitur:DDR4

Sesuai deskripsi & gambar, spec sesuai  yg dipesan. terima dlm keadaan tersegel dan bergaransi. dalam packing yg aman.
thx seller (recommended).",5,0,1751113568,garansi bergaransi fungsi berfungsi normal fitur ddr4 sesuai deskripsi gambar spec sesuai yg dipesan terima dlm keadaan tersegel dan bergaransi dalam packing yg aman thx seller recommended,garansi bergaransi fungsi berfungsi normal fitur ddr4 sesuai deskripsi gambar spec sesuai yg dipesan terima dlm keadaan tersegel dan bergaransi dalam packing yg aman thx seller recommended,27,positive,0.75
m*****9,"jooooos gan bisa lancar jaya 
thank u 🙏 the best penjula ramah 
biar bintang yg bicara",5,4,1747057941,jooooos gan bisa lancar jaya thank u the best penjula ramah biar bintang yg bicara,jooooos gan bisa lancar jaya thank u the best penjula ramah biar bintang yg bicara,15,neutral,0.55
adhitya_budi,"Fungsi:Berfungsi terbaca semua

DDR4 16GB x2 terbaca semua 👍🏼",5,2,1759233008,fungsi berfungsi terbaca semua ddr4 16gb x2 terbaca semua,fungsi berfungsi terbaca semua ddr4 16gb x2 terbaca semua,9,neutral,0.55
teukuhanifjuliansyah,"berfungsi sangat baik..
dari 4 gb menjaid 20 gb.. 
terimakasih ... bg...",5,2,1759715662,berfungsi sangat baik dari 4 gb menjaid 20 gb terimakasih bg,berfungsi sangat baik dari 4 gb menjaid 20 gb terimakasih bg,11,neutral,0.55
martenkiddie,"Fungsi:beroperasi dengan baik
Garansi:produk dilengkapi dengan garansi resmi
Fitur:good

Semoga awet.. gak ada kendala",5,0,1747919073,fungsi beroperasi dengan baik garansi produk dilengkapi dengan garansi resmi fitur good semoga awet gak ada kendala,fungsi beroperasi dengan baik garansi produk dilengkapi dengan garansi resmi fitur good semoga awet gak ada kendala,17,neutral,0.55
inspirat.deddy,"Fungsi:baik
Garansi:garansi
Pengalaman:lancar

Sudah dua kali beli Sodim DDR4 disini, harga sangat affordable, pengiriman super cepat, seller sigap. Thank you, good job.",5,1,1761916797,fungsi baik garansi garansi pengalaman lancar sudah dua kali beli sodim ddr4 disini harga sangat affordable pengiriman super cepat seller sigap thank you good job,fungsi baik garansi garansi pengalaman lancar sudah dua kali beli sodim ddr4 disini harga sangat affordable pengiriman super cepat seller sigap thank you good job,25,positive,0.75
