username,comment,rating,likes,create_time,comment_clean
missdyan.shop,"Masya Allah ka, terimakasih sudah Amanah. laptopnya bagus. Harga terjangkau, tapi kondisinya masih Mulus. Cm permasalah hanya tempat utk colok USB aja. Yg sebelah kiri ga konek 22nya tapi sebelah kanan deket charger bisa. 
Tapi serius laptopnya Baguusss",5,316,1765801677,masya allah ka terimakasih sudah amanah laptopnya bagus harga terjangkau tapi kondisinya masih mulus cm permasalah hanya tempat utk colok usb aja yg sebelah kiri ga konek 22nya tapi sebelah kanan deket charger bisa tapi serius laptopnya baguusss
mamased357,"Fitur Terbaik:toshiba leptop bagus merk berkwalitas
Sepadan dengan Harga:bagus leptop nya

Paket sudah sampai boss ku,,, Terima kasih sekali,,, leptop nya bagus,, dan berfungsi dengan baik,,, tidak ada kendala sama sekali,, toko amanah,, alhamdulillah,, senang sekali anak saya,,, untuk kuliah,,, dan untuk belajar anak saya yg satu masih SD klas 5
Yg satunya kuliah S1,,, 
Alhmdulillah,,sudah sampai yg d tunggu,,, 
Trimakasih Shopee
Trima kasih juga seller nya
Juga trima kasih buat mas kurir nya,,, paket di antar dgn selamat",5,93,1765283216,fitur terbaik toshiba leptop bagus merk berkwalitas sepadan dengan harga bagus leptop nya paket sudah sampai boss ku terima kasih sekali leptop nya bagus dan berfungsi dengan baik tidak ada kendala sama sekali toko amanah alhamdulillah senang sekali anak saya untuk kuliah dan untuk belajar anak saya yg satu masih sd klas 5 yg satunya kuliah s1 alhmdulillah sudah sampai yg d tunggu trimakasih shopee trima kasih juga seller nya juga trima kasih buat mas kurir nya paket di antar dgn selamat
d*****7,"Sepadan dengan Harga:murah tapi bagus. sesuai dengan harga
Fitur Terbaik:packing aman, laptopnya bagus, enak dipakai, fitur lengkap tinggal pakai saja.

penjualnya sangat komunikatif dan bertanggung jawab. gak nyesel deh belanja disini. rekomended",5,29,1755190776,sepadan dengan harga murah tapi bagus sesuai dengan harga fitur terbaik packing aman laptopnya bagus enak dipakai fitur lengkap tinggal pakai saja penjualnya sangat komunikatif dan bertanggung jawab gak nyesel deh belanja disini rekomended
arsha38,"Fitur Terbaik:iya
Sepadan dengan Harga:murah tapi nda murahan

Alhamdulillah barang sudah sampai dengan aman  kurir nya pun baik amanah semua nya aman,yang punya toko ini baik ramah respon nya cepat bahkan ada garansi nya pula,mudah mudahan semua nya baik baik saja dan kalau ada kendala pun yang punya toko siap bertanggung jawab,oke sukses,,sehat selalu buat semua nya,Amin yra",5,42,1753618881,fitur terbaik iya sepadan dengan harga murah tapi nda murahan alhamdulillah barang sudah sampai dengan aman kurir nya pun baik amanah semua nya aman yang punya toko ini baik ramah respon nya cepat bahkan ada garansi nya pula mudah mudahan semua nya baik baik saja dan kalau ada kendala pun yang punya toko siap bertanggung jawab oke sukses sehat selalu buat semua nya amin yra
ibunita121,"Fitur Terbaik:Sangat Baik
Sepadan dengan Harga:Sangat Baik

Alhamdulillah, fast respons. Di luar dugaan, laptopnya masih mulus banget. Dikasih MOUSE jg. Terima kasih, semoga berkah",5,4,1761934283,fitur terbaik sangat baik sepadan dengan harga sangat baik alhamdulillah fast respons di luar dugaan laptopnya masih mulus banget dikasih mouse jg terima kasih semoga berkah
kasno_familly,"Fitur Terbaik:packing bagus , pengiriman cepat respon pelapak baik
Sepadan dengan Harga:paas dg harga nya

Alhamdulillah paketan laptop nya sudah sampai lebih cepat dari jadwal nya, recommend sekali laptop nya, Semoga bisa digunakan dg sebaik-baik nya untuk kerja dan berkah amiiin ...",5,15,1751688726,fitur terbaik packing bagus pengiriman cepat respon pelapak baik sepadan dengan harga paas dg harga nya alhamdulillah paketan laptop nya sudah sampai lebih cepat dari jadwal nya recommend sekali laptop nya semoga bisa digunakan dg sebaik baik nya untuk kerja dan berkah amiiin
s*****0,"Alhamdulilah bang laptop mendarat dengan sempurna hanya saja belom di chek keseluruhan, tapi kalau segi luaran udh oke no Lecet, terimakasih sudh mengirim barang dengan kualitas bagus. Semoga selalu sukses dan selalu amanah membantu sesama.",5,27,1754915085,alhamdulilah bang laptop mendarat dengan sempurna hanya saja belom di chek keseluruhan tapi kalau segi luaran udh oke no lecet terimakasih sudh mengirim barang dengan kualitas bagus semoga selalu sukses dan selalu amanah membantu sesama
alfatihnur148,"Kondisi Barang:selamt gak ada yg rusak
Kualitas:baik dan normal
Permukaan:mantaf

Trimakasih buat seler suda memilihkan yg terbaik dantrimakasih juga buat kurir yang telah mengantar juga trimakasih buat pihak Shopi 👍👍👍",5,9,1765818672,kondisi barang selamt gak ada yg rusak kualitas baik dan normal permukaan mantaf trimakasih buat seler suda memilihkan yg terbaik dantrimakasih juga buat kurir yang telah mengantar juga trimakasih buat pihak shopi
samsuri83,"Kualitas:bagus dan memuaskan
Permukaan:masih mulus
Kondisi:terawat dengan baik

Barang pesanan sudah sampai tujuan sudah di coba cuman minus battreinya saja harus sambil di colok terima kasih kak",5,9,1758810637,kualitas bagus dan memuaskan permukaan masih mulus kondisi terawat dengan baik barang pesanan sudah sampai tujuan sudah di coba cuman minus battreinya saja harus sambil di colok terima kasih kak
jumenap,"Alhamdulilah barangnya sudah nyampe....dengan berfungsi dengan baik..terimakasih banyak...sangat puas beli di toko ini....dan pengirimannya juga cepat....dan mudah"" awet barangnya",5,8,1746675103,alhamdulilah barangnya sudah nyampe dengan berfungsi dengan baik terimakasih banyak sangat puas beli di toko ini dan pengirimannya juga cepat dan mudah awet barangnya
