username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence
ibribribr,"Performa:Lip balm
Cocok Untuk:Men's lip
Tekstur:Silky and light

Seller responsif
Real pic 
Pengiriman cuma sehari",5,18,1764543046,performa lip balm cocok untuk men s lip tekstur silky and light seller responsif real pic pengiriman cuma sehari,performa lip balm cocok untuk men s lip tekstur silky and light seller responsif real pic pengiriman cuma sehari,19,positive,0.75
muchamad_nurdianto,"Barang sesuai pesanan, kualitas produk sangat baik, kecepatan pengiriman sangat baik, cepat sampai, Mantap Banget...",5,4,1762146800,barang sesuai pesanan kualitas produk sangat baik kecepatan pengiriman sangat baik cepat sampai mantap banget,barang sesuai pesanan kualitas produk sangat baik kecepatan pengiriman sangat baik cepat sampai mantap banget,15,positive,0.75
elang001,Ok barang sudah diterima dg baik dan benar semoga bermanfaat dan bisa digunakan,5,0,1738672362,ok barang sudah diterima dg baik dan benar semoga bermanfaat dan bisa digunakan,ok barang sudah diterima dg baik dan benar semoga bermanfaat dan bisa digunakan,13,neutral,0.55
hilalfirmansyah418,"Desain:bagus
Kualitas:sesuai
Kemudahan:sangat praktis

Yaa,terima kasih🙏
Di toko² sekitaran kawasan gw mahh kagak ada",5,1,1755101599,desain bagus kualitas sesuai kemudahan sangat praktis yaa terima kasih di toko sekitaran kawasan gw mahh kagak ada,desain bagus kualitas sesuai kemudahan sangat praktis yaa terima kasih di toko sekitaran kawasan gw mahh kagak ada,18,positive,0.75
h*****3,"Desain:model menarik dan kekinian
Kenyamanan:nyaman dikenakan
Kualitas:standart

Terimakasih barang dah datang",5,2,1755418051,desain model menarik dan kekinian kenyamanan nyaman dikenakan kualitas standart terimakasih barang dah datang,desain model menarik dan kekinian kenyamanan nyaman dikenakan kualitas standart terimakasih barang dah datang,14,neutral,0.55
agus_syam,"Performa:cukup nyaman
Tekstur:lembab
Cocok Untuk:bibir kering

Blm lama coba tp nyaman dipake. Thx all",5,2,1700313745,performa cukup nyaman tekstur lembab cocok untuk bibir kering blm lama coba tp nyaman dipake thx all,performa cukup nyaman tekstur lembab cocok untuk bibir kering blm lama coba tp nyaman dipake thx all,17,neutral,0.55
zakaria8a,"Desain:terbaik
Kemudahan:bagus mantap
Kenyamanan:mantap terbaik bagus

Tokonya amnh sukseselalu mantap terbaik ok bgus",5,0,1733653125,desain terbaik kemudahan bagus mantap kenyamanan mantap terbaik bagus tokonya amnh sukseselalu mantap terbaik ok bgus,desain terbaik kemudahan bagus mantap kenyamanan mantap terbaik bagus tokonya amnh sukseselalu mantap terbaik ok bgus,16,positive,0.75
nusawan_interior,"Terima kasih, Paketnya sudah Datang,packinganya full rapi, mantap. . . Semoga lancar selalu🙏🙏🙏",4,4,1753786048,terima kasih paketnya sudah datang packinganya full rapi mantap semoga lancar selalu,terima kasih paketnya sudah datang packinganya full rapi mantap semoga lancar selalu,12,positive,0.75
adie_bae_,"Desain:ok
Kenyamanan:nyaman
Kualitas:lumayan

Baru mau coba semoga aja cocok dan bersih untuk bibir hitam .",5,0,1731632268,desain ok kenyamanan nyaman kualitas lumayan baru mau coba semoga aja cocok dan bersih untuk bibir hitam,desain ok kenyamanan nyaman kualitas lumayan baru mau coba semoga aja cocok dan bersih untuk bibir hitam,17,positive,0.75
mukhtar614,"Desain:terlihat keren dan moderen
Kualitas:pengerjaan sangat rapih
Kemudahan:praktis,

Terkesan tidak ada merah"" nya, jadi cuman bisa nyaman saja untuk bibir yg kering tapi tetap hitam lhoo....",4,3,1759485297,desain terlihat keren dan moderen kualitas pengerjaan sangat rapih kemudahan praktis terkesan tidak ada merah nya jadi cuman bisa nyaman saja untuk bibir yg kering tapi tetap hitam lhoo,desain terlihat keren dan moderen kualitas pengerjaan sangat rapih kemudahan praktis terkesan tidak ada merah nya jadi cuman bisa nyaman saja untuk bibir yg kering tapi tetap hitam lhoo,29,neutral,0.55
shiddiqmz,"Desain:Sangat Bagus
Kualitas:Sangat Bagus
Efek:Insyaallah Sangat Bagus",5,2,1759003709,desain sangat bagus kualitas sangat bagus efek insyaallah sangat bagus,desain sangat bagus kualitas sangat bagus efek insyaallah sangat bagus,10,positive,0.75
7*****c,"Profil Kecantikan:bagus

barang sesuai. pengiriman cepat. amanah selalu ka.",5,1,1755221762,profil kecantikan bagus barang sesuai pengiriman cepat amanah selalu ka,profil kecantikan bagus barang sesuai pengiriman cepat amanah selalu ka,10,positive,0.75
saeful_kihfi29,Mantap pesen kemarin datang hari ini.... Realpict juga Sukses terus buat Tokonya👏👏,5,1,1711882874,mantap pesen kemarin datang hari ini realpict juga sukses terus buat tokonya,mantap pesen kemarin datang hari ini realpict juga sukses terus buat tokonya,12,positive,0.75
supendisiregar,Kualitas nya baik barang nya sesuai bagus penggirimanya cepat,5,1,1696291867,kualitas nya baik barang nya sesuai bagus penggirimanya cepat,kualitas nya baik barang nya sesuai bagus penggirimanya cepat,9,positive,0.75
l*****2,,5,1,1755696339,,,1,neutral,0.55
arilgacor,"Desain:Alhamdulillah sudah yg kedua kalinya saya beli lip serum ini
Kualitas:dan hasil nya sangat memuaskan",5,0,1759503988,desain alhamdulillah sudah yg kedua kalinya saya beli lip serum ini kualitas dan hasil nya sangat memuaskan,desain alhamdulillah sudah yg kedua kalinya saya beli lip serum ini kualitas dan hasil nya sangat memuaskan,17,neutral,0.55
alfianyudhistira389,"Pengalaman Penggunaan:tekstur wangi
Kemasan:baik dan aman
Manfaat:membuat bibir lebih cerah",5,0,1750895693,pengalaman penggunaan tekstur wangi kemasan baik dan aman manfaat membuat bibir lebih cerah,pengalaman penggunaan tekstur wangi kemasan baik dan aman manfaat membuat bibir lebih cerah,13,neutral,0.55
nkrb7vrfgd,"Tekstur:belum coba
Cocok Untuk:belum coba
Performa:belum coba

Belum coba",5,2,1694762708,tekstur belum coba cocok untuk belum coba performa belum coba belum coba,tekstur belum coba cocok untuk belum coba performa belum coba belum coba,12,positive,0.75
firmansyafutra928,"Tips Pengguna:pemakaian dengan rutin
Manfaat:sdikit mencerahkan bibir yg ,berkosumsi peroko

barang nya sampai tunjuan ,pengiriman nya cepat",5,0,1708960767,tips pengguna pemakaian dengan rutin manfaat sdikit mencerahkan bibir yg berkosumsi peroko barang nya sampai tunjuan pengiriman nya cepat,tips pengguna pemakaian dengan rutin manfaat sdikit mencerahkan bibir yg berkosumsi peroko barang nya sampai tunjuan pengiriman nya cepat,19,positive,0.75
muhamad_ismail18,,5,1,1690792675,,,1,neutral,0.55
d*****n,Makasi👍,5,1,1692051245,makasi,makasi,1,neutral,0.55
recksydhofingeovani27,,5,0,1692387094,,,1,neutral,0.55
jblakun,,5,0,1731230555,,,1,neutral,0.55
triwahyudijatisrono,Belum di coba...packing aman.barang sesuai foto mudah mudahan bibir ku gak kering lagi,5,1,1759466954,belum di coba packing aman barang sesuai foto mudah mudahan bibir ku gak kering lagi,belum di coba packing aman barang sesuai foto mudah mudahan bibir ku gak kering lagi,15,positive,0.75
k7oxd0cg5r,"Desain:Desain yah bagusss
Kenyamanan:Biasa saja
Kualitas:bagusss

Barang yah bagus mantap",2,0,1732334679,desain desain yah bagusss kenyamanan biasa saja kualitas bagusss barang yah bagus mantap,desain desain yah bagusss kenyamanan biasa saja kualitas bagusss barang yah bagus mantap,13,positive,0.75
ahmadfaujan810,"Desain:bagus
Kemudahan:sip
Kualitas:baik",5,0,1734019794,desain bagus kemudahan sip kualitas baik,desain bagus kemudahan sip kualitas baik,6,positive,0.75
cintacinta504,bagus,5,1,1696260964,bagus,bagus,1,positive,0.75
endiandiansah1,"Desain:rapi
Kenyamanan:nyaman di pake nya
Kualitas:bagus

Mantap pesenan da sesuai",5,0,1731505988,desain rapi kenyamanan nyaman di pake nya kualitas bagus mantap pesenan da sesuai,desain rapi kenyamanan nyaman di pake nya kualitas bagus mantap pesenan da sesuai,13,positive,0.75
jojojulian69,"Kenyamanan:Enak tidak sepertu pakai lipstik cewek
Desain:simple mudah di bahwa

Bahkan beli lagi terima kasih penjual",5,0,1722648186,kenyamanan enak tidak sepertu pakai lipstik cewek desain simple mudah di bahwa bahkan beli lagi terima kasih penjual,kenyamanan enak tidak sepertu pakai lipstik cewek desain simple mudah di bahwa bahkan beli lagi terima kasih penjual,18,negative,0.75
2x848wzjx4,Sangat bagus & cepatt trma kasih.🙏,5,1,1690503331,sangat bagus cepatt trma kasih,sangat bagus cepatt trma kasih,5,positive,0.75
a*****1,"Tips Pengguna:dioles dibibir
Kemasan:bagus
Profil Kecantikan:usia, warna kulit

Bagus",5,0,1750472011,tips pengguna dioles dibibir kemasan bagus profil kecantikan usia warna kulit bagus,tips pengguna dioles dibibir kemasan bagus profil kecantikan usia warna kulit bagus,12,positive,0.75
rudi8844,,5,0,1692614306,,,1,neutral,0.55
buedakleutikcengos,,5,0,1692287101,,,1,neutral,0.55
